animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
59,3087697,US DD1767,380,2026-04-01,22.3,384,2.56,3.71,0,1,1.67,612,0,-5.73,Voice Agent Report Historical 4.2.1.csv
60,3087116,US DD1640,2,2026-04-01,35.9,458,4.16,0.91,0,2,1.37,,0,2.87,Voice Agent Report Historical 4.2.1.csv
61,3086148,DD1550,254,2026-04-01,60.2,468,14.39,0.24,0,3,1.35,,2,0.44,Voice Agent Report Historical 4.2.1.csv
62,3087292,US DD1627,186,2026-04-01,97.9,568,20.83,0.41,0,5,1.36,88,4,-4.63,Voice Agent Report Historical 4.2.1.csv
63,3086272,DD1423,321,2026-04-01,61.7,518,13.27,0.22,0,3,1.39,,3,1.1,Voice Agent Report Historical 4.2.1.csv
64,3087236,US DD1624,,2026-04-01,,,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
66,3087248,DD1170,96,2026-04-01,99,416,18.15,0.45,3,2,1.14,,1,-0.22,Voice Agent Report Historical 4.2.1.csv
67,3086685,US DD1707,2,2026-04-01,38.6,426,4.44,0.59,0,2,1.14,,0,5.07,Voice Agent Report Historical 4.2.1.csv
69,3087141,DD1473,314,2026-04-01,97.2,495,18.57,0.38,0,5,1.28,59,8,-4.19,Voice Agent Report Historical 4.2.1.csv
71,3087258,DD1447,363,2026-04-01,97.9,388,14.46,0.32,0,4,1.49,356,6,-6.83,Voice Agent Report Historical 4.2.1.csv
72,3087950,DD1501,49,2026-04-01,91.9,459,13.27,0.22,0,2,1.06,65,0,4.63,Voice Agent Report Historical 4.2.1.csv
73,3542905,DD1328,190,2026-04-01,84.2,448,14.29,0.21,0,3,1.26,971,3,13.89,Voice Agent Report Historical 4.2.1.csv
74,3087864,US DD1559,254,2026-04-01,60.6,500,16.23,0.45,0,3,1.42,,14,0,Voice Agent Report Historical 4.2.1.csv
75,3088111,US DD1583,215,2026-04-01,55.1,491,10.72,0.94,0,2,1.07,,0,-5.95,Voice Agent Report Historical 4.2.1.csv
76,3087596,DD1349,453,2026-04-01,65,447,10.54,0.15,0,2,1.56,,1,0,Voice Agent Report Historical 4.2.1.csv
77,3086851,DD1365,41,2026-04-01,63.1,458,13.27,0.16,0,2,1.36,2645,1,-0.88,Voice Agent Report Historical 4.2.1.csv
78,3087494,DD1435,64,2026-04-01,105.4,564,19.35,0.37,0,3,1.06,1938,1,-2.43,Voice Agent Report Historical 4.2.1.csv
80,3086149,DD1406,322,2026-04-01,55.8,403,11.9,0.78,0,2,1.49,228,6,-3.53,Voice Agent Report Historical 4.2.1.csv
81,3087668,US DD1574,246,2026-04-01,67.9,450,10.09,0.13,0,2,1.28,,6,-3.75,Voice Agent Report Historical 4.2.1.csv
82,3087220,DD1523,275,2026-04-01,45.6,439,12.49,3.82,0,2,1.29,,0,2.65,Voice Agent Report Historical 4.2.1.csv
83,6641288,DD1426,204,2026-04-01,92.6,542,14.94,0.32,0,4,1.21,114,1,-7.94,Voice Agent Report Historical 4.2.1.csv
84,3086109,US DD1565,245,2026-04-01,103,444,14.18,0.29,0,3,1.21,,1,-0.44,Voice Agent Report Historical 4.2.1.csv
86,3087212,US DD1610,278,2026-04-01,51.8,516,11.92,0.14,0,2,1.26,,1,-6.17,Voice Agent Report Historical 4.2.1.csv
87,3087609,DD1522,290,2026-04-01,68.1,405,12.13,0.15,0,2,1.54,,14,-21.16,Voice Agent Report Historical 4.2.1.csv
88,3087586,US DD1608,7,2026-04-01,49.2,509,6.21,0.2,0,2,1.04,,4,9.92,Voice Agent Report Historical 4.2.1.csv
89,3087349,US DD1763,306,2026-04-01,79.1,472,18.87,0.34,0,4,1.34,69,1,-2.2,Voice Agent Report Historical 4.2.1.csv
90,3087156,DD1599,1,2026-04-01,26.9,395,4.02,0.37,0,2,1.21,,0,5.51,Voice Agent Report Historical 4.2.1.csv
91,3087334,US DD1396,448,2026-04-01,62.6,403,15.83,0.28,0,4,1.45,,8,-0.88,Voice Agent Report Historical 4.2.1.csv
92,3087516,DD1433,178,2026-04-01,95.9,419,15.54,0.25,0,3,1.09,1057,0,-2.87,Voice Agent Report Historical 4.2.1.csv
93,3086243,DD1425,329,2026-04-01,77.8,424,15.6,0.27,0,4,1.39,25,0,-4.85,Voice Agent Report Historical 4.2.1.csv
94,3087594,DD1476,187,2026-04-01,80,370,11.37,0.18,0,2,1.21,156,0,2.87,Voice Agent Report Historical 4.2.1.csv
95,3086498,DD1493,273,2026-04-01,69.2,525,15.42,0.26,0,3,1.6,75,0,-9.04,Voice Agent Report Historical 4.2.1.csv
96,3087977,DD1196,222,2026-04-01,75,486,18.93,0.32,0,3,1.16,106,0,-3.53,Voice Agent Report Historical 4.2.1.csv
97,3088051,DD1373,472,2026-04-01,0,344,,,0,0,,,2,0,Voice Agent Report Historical 4.2.1.csv
98,3087882,DD1487,105,2026-04-01,123,455,19.11,0.33,0,3,1.1,,0,-0.66,Voice Agent Report Historical 4.2.1.csv
99,3352005,US DD1585,237,2026-04-01,64.6,439,9.24,0.13,0,2,1.27,,1,0.88,Voice Agent Report Historical 4.2.1.csv
101,3087282,DD1272,230,2026-04-01,85.5,468,18.51,0.3,0,3,1.52,50,1,-9.26,Voice Agent Report Historical 4.2.1.csv
103,3087255,DD1438,16,2026-04-01,123,599,19.29,0.46,0,4,1.28,21,0,0.66,Voice Agent Report Historical 4.2.1.csv
105,3087401,US DD1748,126,2026-04-01,105.6,442,22.38,0.37,0,4,1.3,81,0,-10.14,Voice Agent Report Historical 4.2.1.csv
106,3087159,US DD1556,,2026-04-01,,187,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
108,3542732,DD1479,228,2026-04-01,90.4,423,13.15,0.24,0,2,1.38,129,0,-13.01,Voice Agent Report Historical 4.2.1.csv
109,3353222,US DD1611,241,2026-04-01,58,551,15.87,0.23,0,3,1.27,,0,0.44,Voice Agent Report Historical 4.2.1.csv
110,3087310,DD1351,243,2026-04-01,94.4,564,18.27,0.39,0,4,1.45,2116,0,7.72,Voice Agent Report Historical 4.2.1.csv
111,3086497,DD1402,347,2026-04-01,80,606,15.71,0.22,0,3,1.42,183,0,-1.1,Voice Agent Report Historical 4.2.1.csv
