animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
121,3087395,US DD1700,38,2026-04-04,127.2,599,17.98,0.37,0,3,1.18,99,0,13.01,Voice Agent Report Historical 4.4.3.csv
123,3086581,DD1443,307,2026-04-04,47.6,586,12.98,1.68,0,2,1.61,,2,-7.28,Voice Agent Report Historical 4.4.3.csv
124,3087250,DD1486,215,2026-04-04,71.9,441,16.85,0.25,0,3,1.57,74,3,-10.58,Voice Agent Report Historical 4.4.3.csv
125,3087179,DD1502,342,2026-04-04,41.2,559,11.78,3.23,0,2,1.31,,0,-2.43,Voice Agent Report Historical 4.4.3.csv
127,3086217,DD1474,199,2026-04-04,60.2,485,16.96,0.29,0,3,1.34,146,0,-2.2,Voice Agent Report Historical 4.4.3.csv
128,3087160,US DD1759,414,2026-04-04,,460,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
131,3087351,US DD1696,30,2026-04-04,118.8,625,20.67,0.27,0,4,1.1,,0,-0.22,Voice Agent Report Historical 4.4.3.csv
132,3087361,DD1311,464,2026-04-04,,373,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
133,3087396,DD1374,225,2026-04-04,74.1,582,13.33,0.66,0,2,1.25,27,0,-0.22,Voice Agent Report Historical 4.4.3.csv
134,3087229,DD1540,154,2026-04-04,68.3,493,17.2,0.52,0,4,1.25,70,2,0,Voice Agent Report Historical 4.4.3.csv
135,3086678,DD1547,447,2026-04-04,0,573,,,0,0,,,4,0,Voice Agent Report Historical 4.4.3.csv
136,3087368,US DD1819,228,2026-04-04,64.4,619,19.19,0.32,0,3,1.39,,0,-9.48,Voice Agent Report Historical 4.4.3.csv
137,3087194,US DD1652,7,2026-04-04,47.6,538,7.76,0.11,0,3,1.08,,5,6.83,Voice Agent Report Historical 4.4.3.csv
138,3086806,US DD1697,572,2026-04-04,39.2,514,12.06,0.15,0,3,1.28,,1,-1.32,Voice Agent Report Historical 4.4.3.csv
139,3087241,DD1445,237,2026-04-04,68.3,508,15.8,0.18,0,3,1.07,,1,3.97,Voice Agent Report Historical 4.4.3.csv
140,3352078,DD1525,250,2026-04-04,54.9,506,15.38,0.22,0,3,1.34,,2,-2.2,Voice Agent Report Historical 4.4.3.csv
142,3086184,DD1376,530,2026-04-04,,580,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
143,3183515,DD1467,233,2026-04-04,94.6,542,16.73,0.35,0,4,1.47,99,2,0,Voice Agent Report Historical 4.4.3.csv
144,3087427,US DD1755,9,2026-04-04,49.4,583,13.83,0.2,0,4,0.95,,11,10.58,Voice Agent Report Historical 4.4.3.csv
145,3086699,US DD1758,11,2026-04-04,53.1,486,10.02,0.11,0,2,0.91,,1,4.41,Voice Agent Report Historical 4.4.3.csv
146,3087034,US DD1761,9,2026-04-04,46.7,561,10.86,0.66,1,2,1.01,,1,5.95,Voice Agent Report Historical 4.4.3.csv
147,3086154,US DD1604,610,2026-04-04,39.9,598,12.32,0.2,0,3,1.15,73,0,-1.32,Voice Agent Report Historical 4.4.3.csv
148,3087735,DD1535,277,2026-04-04,65.3,517,17.8,0.3,0,4,1.29,516,3,-10.8,Voice Agent Report Historical 4.4.3.csv
149,3087997,DD1416,324,2026-04-04,65.7,569,17.92,0.32,0,3,1.3,,0,0.88,Voice Agent Report Historical 4.4.3.csv
151,3086706,DD1489,,2026-04-04,,397,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
152,3353711,DD1484,82,2026-04-04,105.8,517,18.48,0.34,0,3,1.51,,0,-1.32,Voice Agent Report Historical 4.4.3.csv
155,3086104,DD1551,287,2026-04-04,55.6,452,13.26,0.17,0,3,1.29,,8,-1.98,Voice Agent Report Historical 4.4.3.csv
156,3085889,US DD1607,231,2026-04-04,90.6,522,19.58,0.25,0,4,1.24,73,1,4.19,Voice Agent Report Historical 4.4.3.csv
158,3087680,DD1528,266,2026-04-04,70.3,515,13.26,0.22,0,3,1.15,,5,-2.87,Voice Agent Report Historical 4.4.3.csv
159,3087807,DD1548,290,2026-04-04,84.2,433,16.44,0.27,0,3,1.41,,1,-3.97,Voice Agent Report Historical 4.4.3.csv
162,5926949,DD1482,202,2026-04-04,86.4,501,14.11,0.3,0,3,1.29,48,1,3.09,Voice Agent Report Historical 4.4.3.csv
163,3352744,US DD1751,22,2026-04-04,65.7,543,15.8,0.4,0,5,0.91,,13,-1.98,Voice Agent Report Historical 4.4.3.csv
164,3542845,US DD1769,3,2026-04-04,76.5,366,6.19,0.1,0,3,0.92,,2,3.75,Voice Agent Report Historical 4.4.3.csv
165,5925519,US DD1563,282,2026-04-04,55.1,625,13.4,0.25,0,2,1.34,,0,-2.2,Voice Agent Report Historical 4.4.3.csv
166,5927463,DD1171,464,2026-04-04,,556,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
168,3183540,US DD1568,251,2026-04-04,96.1,559,16.07,0.26,0,3,1.2,71,3,0.44,Voice Agent Report Historical 4.4.3.csv
172,3351267,DD1505,240,2026-04-04,66.8,536,15.66,0.2,0,3,1.24,,1,-3.53,Voice Agent Report Historical 4.4.3.csv
173,3542711,DD1321,19,2026-04-04,112,656,22.14,0.47,0,4,1.09,69,0,7.94,Voice Agent Report Historical 4.4.3.csv
182,6634654,DD1342,217,2026-04-04,88.8,633,20.18,0.29,0,5,1.47,348,7,-5.07,Voice Agent Report Historical 4.4.3.csv
183,3087417,DD1513,264,2026-04-04,87.5,521,16.01,0.35,0,4,1.36,,4,-3.31,Voice Agent Report Historical 4.4.3.csv
184,3183423,US DD1747,11,2026-04-04,17,517,9.17,0.2,4,2,0.89,,2,4.63,Voice Agent Report Historical 4.4.3.csv
185,3087303,US DD1586,236,2026-04-04,51.8,594,12.84,0.31,3,1,0.87,,3,-13.45,Voice Agent Report Historical 4.4.3.csv
186,3087125,US DD1564,244,2026-04-04,77.8,599,16.51,0.32,0,4,1.33,,3,-6.83,Voice Agent Report Historical 4.4.3.csv
188,6632868,US DD1683,516,2026-04-04,,528,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
190,3353629,US DD1432,201,2026-04-04,65.7,599,16.01,0.26,0,4,1.56,34,6,-1.32,Voice Agent Report Historical 4.4.3.csv
191,3183576,US DD1578,26,2026-04-04,43.2,573,10.6,0.66,0,2,1.18,422,0,9.92,Voice Agent Report Historical 4.4.3.csv
192,3543451,US DD1686,237,2026-04-04,52.5,522,16.9,0.27,0,4,1.42,2262,1,-2.65,Voice Agent Report Historical 4.4.3.csv
193,6635122,US DD1687,233,2026-04-04,77.8,502,15.06,0.22,0,4,1.57,31,2,-1.54,Voice Agent Report Historical 4.4.3.csv
199,6633146,DD1470,201,2026-04-04,105.2,526,18.21,3.09,0,3,1.2,463,0,-9.26,Voice Agent Report Historical 4.4.3.csv
202,3087167,DD1480,98,2026-04-04,103.4,600,20,1.58,0,3,1.28,13,0,7.28,Voice Agent Report Historical 4.4.3.csv
203,5926241,US DD1671,85,2026-04-04,120.1,624,20.11,6.3,0,3,1.12,,0,-6.61,Voice Agent Report Historical 4.4.3.csv
204,5925507,US DD1634,5,2026-04-04,44.8,491,6.42,0.6,0,2,0.88,,1,-4.41,Voice Agent Report Historical 4.4.3.csv
205,5925505,DD1413,253,2026-04-04,58.6,529,11.15,0.16,0,2,1.32,,1,0.88,Voice Agent Report Historical 4.4.3.csv
206,3543433,DD1530,253,2026-04-04,51.1,560,12.32,1.34,0,2,1.6,56,1,-8.16,Voice Agent Report Historical 4.4.3.csv
207,3086128,DD1543,256,2026-04-04,70.3,633,17.07,0.25,0,4,1.14,,2,-2.87,Voice Agent Report Historical 4.4.3.csv
208,6633192,US DD1689,123,2026-04-04,93,496,16.31,2.47,0,3,1.47,7,2,-22.27,Voice Agent Report Historical 4.4.3.csv
210,6632735,US DD1691,397,2026-04-04,75,541,17.74,0.45,0,5,1.32,76,7,-5.95,Voice Agent Report Historical 4.4.3.csv
211,6641911,DD1440,340,2026-04-04,87.5,572,23.35,0.42,0,4,1.42,,2,-9.26,Voice Agent Report Historical 4.4.3.csv
212,6635120,US DD1693,335,2026-04-04,,550,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
213,6635043,DD1507,262,2026-04-04,72.5,581,14.6,0.3,0,3,1.31,,5,-3.31,Voice Agent Report Historical 4.4.3.csv
214,6635135,DD1511,294,2026-04-04,70.8,563,18.41,0.25,0,4,1.33,,8,-3.09,Voice Agent Report Historical 4.4.3.csv
215,6641856,US 1788,24,2026-04-04,75,466,17.85,0.28,0,4,1.01,,2,-0.66,Voice Agent Report Historical 4.4.3.csv
216,6634679,US DD1642,225,2026-04-04,78.5,532,19.33,2.44,0,3,1.31,,0,-3.09,Voice Agent Report Historical 4.4.3.csv
217,6634709,US DD1706,43,2026-04-04,130.7,661,20.06,0.37,0,4,1.07,27,1,0.88,Voice Agent Report Historical 4.4.3.csv
218,6632897,US DD1712,77,2026-04-04,95.5,392,21.25,0.45,0,4,1.14,306,0,-4.41,Voice Agent Report Historical 4.4.3.csv
220,6633304,DD1506,414,2026-04-04,,437,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
221,6635124,US DD1836,203,2026-04-04,95.9,629,13.33,6.99,0,2,1.35,,0,-4.41,Voice Agent Report Historical 4.4.3.csv
222,6632589,DD1455,232,2026-04-04,91.3,605,15.42,0.31,0,3,1.45,1128,0,-4.63,Voice Agent Report Historical 4.4.3.csv
223,6632661,US DD1714,317,2026-04-04,58.4,476,11.61,0.15,0,2,1.42,120,0,5.51,Voice Agent Report Historical 4.4.3.csv
224,6642406,US DD1716,13,2026-04-04,76.9,588,15.89,0.19,0,3,0.99,46,0,13.67,Voice Agent Report Historical 4.4.3.csv
226,6634736,US DD1739,308,2026-04-04,37.9,571,14.96,0.14,0,3,1.44,,1,-5.51,Voice Agent Report Historical 4.4.3.csv
227,6632644,US DD1723,378,2026-04-04,96.1,606,23.99,0.38,0,5,1.31,2001,2,-2.65,Voice Agent Report Historical 4.4.3.csv
231,6635053,US DD1834,213,2026-04-04,22.3,525,11.43,0.11,0,3,1.12,2776,1,-2.65,Voice Agent Report Historical 4.4.3.csv
232,6632637,US DD1792,153,2026-04-04,117.7,618,20,0.4,0,3,1.41,93,1,9.04,Voice Agent Report Historical 4.4.3.csv
233,6634664,US DD1793,320,2026-04-04,66.8,433,13.4,2.11,0,2,1.42,,1,-3.53,Voice Agent Report Historical 4.4.3.csv
234,6635136,DD1496,193,2026-04-04,89.3,508,17.32,0.36,0,4,1.3,67,8,-3.31,Voice Agent Report Historical 4.4.3.csv
235,6633202,US DD1795,199,2026-04-04,109.8,572,19.82,0.34,0,4,1.28,,0,-6.61,Voice Agent Report Historical 4.4.3.csv
236,6632625,US DD1722,22,2026-04-04,68.1,599,14.6,0.28,0,3,1.03,,0,4.85,Voice Agent Report Historical 4.4.3.csv
237,6635029,US DD1797,379,2026-04-04,,536,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
238,6634733,US DD1798,209,2026-04-04,73,544,18.1,0.49,0,4,1.29,78,3,-2.65,Voice Agent Report Historical 4.4.3.csv
239,6641905,US DD1799,46,2026-04-04,138.4,637,21.31,0.48,0,4,1.11,156,4,-2.87,Voice Agent Report Historical 4.4.3.csv
240,6633288,US DD1800,351,2026-04-04,22.7,447,7.48,1.4,0,2,1.64,,0,-2.2,Voice Agent Report Historical 4.4.3.csv
241,6634711,US DD1801,392,2026-04-04,49.4,503,12.63,0.15,0,2,1.48,,1,-1.32,Voice Agent Report Historical 4.4.3.csv
243,6633246,US DD1803,110,2026-04-04,106.9,449,18.27,0.31,0,3,1.26,59,1,-4.41,Voice Agent Report Historical 4.4.3.csv
244,6632803,US DD1810,221,2026-04-04,71.2,543,12.32,1.66,0,2,1.46,405,0,-6.61,Voice Agent Report Historical 4.4.3.csv
245,6634963,US DD1811,168,2026-04-04,,475,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
246,3086605,DD1411,444,2026-04-04,,581,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
247,6641939,US DD1649,11,2026-04-04,64.2,575,14.39,0.23,0,4,1.02,,11,9.92,Voice Agent Report Historical 4.4.3.csv
248,6635044,US DD1816,324,2026-04-04,65.3,555,19.17,0.41,2,3,1.15,990,0,-19.62,Voice Agent Report Historical 4.4.3.csv
250,6635110,DD1500,241,2026-04-04,57.5,625,12.56,0.21,0,2,1.35,,0,-0.22,Voice Agent Report Historical 4.4.3.csv
252,6641942,US DD1617,10,2026-04-04,65.5,442,14.25,0.26,0,4,1.14,,10,18.3,Voice Agent Report Historical 4.4.3.csv
253,6634702,US DD1821,463,2026-04-04,57.3,322,11.57,0.13,0,2,1.26,,7,-1.76,Voice Agent Report Historical 4.4.3.csv
255,6635055,US DD1603,136,2026-04-04,69.9,621,18.06,0.25,0,3,1.14,,1,-4.85,Voice Agent Report Historical 4.4.3.csv
256,6634673,US DD1824,178,2026-04-04,114.6,597,18.81,0.37,0,4,1.36,,0,1.54,Voice Agent Report Historical 4.4.3.csv
257,6634640,US DD1648,,2026-04-04,0,304,,,0,1,,,3,0,Voice Agent Report Historical 4.4.3.csv
258,6641953,US DD1826,354,2026-04-04,,584,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
260,6634655,US DD1828,184,2026-04-04,52,614,6.67,7.84,0,1,1.22,,0,-14.77,Voice Agent Report Historical 4.4.3.csv
261,6634657,US DD1829,133,2026-04-04,83.3,527,17.14,0.28,0,3,1.35,1083,1,-31.08,Voice Agent Report Historical 4.4.3.csv
262,6634652,DD1537,282,2026-04-04,59.5,514,16.3,0.86,0,3,1.36,,0,0.66,Voice Agent Report Historical 4.4.3.csv
263,6634659,US DD1573,148,2026-04-04,40.1,438,10.23,0.12,0,2,1.18,,0,0.22,Voice Agent Report Historical 4.4.3.csv
264,6633230,US DD1560,270,2026-04-04,53.6,498,12.2,0.54,0,2,1.31,,0,-3.31,Voice Agent Report Historical 4.4.3.csv
265,6641319,US DD1650,11,2026-04-04,66.4,568,16.51,0.27,0,4,0.98,,10,9.04,Voice Agent Report Historical 4.4.3.csv
266,6640786,US 1738,19,2026-04-04,47.8,443,11.64,0.17,0,2,1.1,,0,-8.16,Voice Agent Report Historical 4.4.3.csv
268,6641401,DD1446,295,2026-04-04,87.5,499,16.31,0.29,0,4,1.18,43,14,-3.09,Voice Agent Report Historical 4.4.3.csv
269,6642024,DD1463,651,2026-04-04,,542,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
270,6642008,US DD1871,145,2026-04-04,116.2,555,20.42,0.5,0,4,1.4,218,4,2.43,Voice Agent Report Historical 4.4.3.csv
271,6642304,DD1441,154,2026-04-04,74.3,501,15.54,0.3,0,3,1.4,91,0,-1.76,Voice Agent Report Historical 4.4.3.csv
345,3184368,US DD1572,11,2026-04-04,59.3,464,12.68,0.54,8,3,0.96,,9,21.6,Voice Agent Report Historical 4.4.3.csv
346,3183472,US DD1625,14,2026-04-04,56.2,636,13.69,2.43,2,1,1.07,,0,-3.53,Voice Agent Report Historical 4.4.3.csv
568,3184472,US DD1699,53,2026-04-04,95.9,590,17.32,0.39,0,4,1.17,1355,0,0.44,Voice Agent Report Historical 4.4.3.csv
746,3351299,US DD1674,13,2026-04-04,70.3,568,16.3,0.2,0,3,1.01,,0,7.28,Voice Agent Report Historical 4.4.3.csv
787,3184144,US DD1846,223,2026-04-04,40.6,566,15.03,0.2,0,3,1.53,,0,-0.44,Voice Agent Report Historical 4.4.3.csv
803,5927959,DD1524,253,2026-04-04,60.8,654,13.33,0.13,0,2,1.33,,0,-1.76,Voice Agent Report Historical 4.4.3.csv
804,3087379,US DD1393,406,2026-04-04,38.6,560,12.14,0.16,0,3,1.15,14,2,-1.76,Voice Agent Report Historical 4.4.3.csv
808,3087269,DD1521,233,2026-04-04,69.9,504,13.54,0.2,0,3,1.37,,2,-3.75,Voice Agent Report Historical 4.4.3.csv
1063,,DD1444,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1081,,DD1459,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1108,,DD1485,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1141,,DD1512,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1157,,DD1529,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1162,,DD1533,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1169,,DD1539,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1174,,DD1544,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1183,,DD1553,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1184,,US DD1554,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1200,,US DD1569,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1201,,US DD1570,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1207,,US DD1576,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1213,,US DD1582,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1219,,US DD1589,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1220,,US DD1590,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1222,,US DD1600,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1223,,US DD1601,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1226,,US DD1605,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1230,,US DD1614,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1234,,US DD1619,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1236,,US DD1621,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1237,,US DD1622,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1238,,US DD1623,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1242,,US DD1630,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1243,,US DD1629,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1245,,US DD1633,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1247,,US DD1635,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1248,,US DD1636,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1249,,US DD1637,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1250,,US DD1638,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1251,,US DD1639,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1253,,US DD1641,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1256,,US DD1647,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1261,,US DD1653,5,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1264,,US DD1656,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1266,,US DD1672,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1268,,US DD1676,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1269,,US DD1677,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1270,,US DD1679,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1271,,US DD1680,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1272,,US 1703,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1274,,US DD1705,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1276,,US DD1708,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1277,,US DD1715,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1278,,US DD1719,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1279,,US DD1720,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1280,,US DD1721,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1283,,US DD1726,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1284,,US DD1731,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1286,,US 1734,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1287,,US DD1736,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1288,,US DD1737,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1290,,US DD1740,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1291,,US 1741,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1292,,US DD1743,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1294,,US 1745,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1299,,US DD1756,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1301,,US DD1760,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1304,,US DD1773,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1305,,US DD1774,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1307,,US DD1776,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1308,,US DD1777,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1309,,US DD1778,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1310,,US DD1780,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1311,,US DD1781,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1312,,US DD1785,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1313,,US DD1786,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1314,,US DD1787,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1316,,US DD1789,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1317,,US 1789,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1318,,US 1790,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1319,,US DD1791,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1320,,US DD1804,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1321,,US DD1805,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1322,,US DD1806,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1323,3543443,US DD1812,,2026-04-04,0,277,,,0,0,,,1,0,Voice Agent Report Historical 4.4.3.csv
1324,,US DD1813,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1325,,US 1815,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1326,,US DD1326,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1327,,US DD1832,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1328,,US DD1833,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1329,,US DD1835,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1330,,US DD1840,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1331,,US DD1841,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1332,,US DD1842,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1335,,US DD1848,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1336,,US DD1849,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1337,,US DD1851,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1338,,US DD1852,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1339,,US DD1853,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1340,,US DD1855,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1341,,US DD1856,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1342,,US DD1858,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1343,,US 1859,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1344,,US DD1860,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1345,,US DD1861,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1346,,US DD1862,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1347,,US DD1863,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1348,,US DD1864,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1349,,US DD1865,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1350,,US DD1866,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1351,,US DD1867,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1353,,US DD1869,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1354,,US DD1870,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1355,,US DD1872,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1356,,US DD1873,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1357,,US DD1874,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1358,,US DD1875,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1359,,US DD1876,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1360,,US DD1877,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1361,,US DD1878,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1362,,US DD1879,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1363,,US DD1880,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1364,,US DD1882,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1365,,US DD1883,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1366,,US 1884,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1367,,US 1885,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1368,,US DD1886,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1369,,US DD1887,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
1370,,US DD1888,,2026-04-04,,,,,,,,,,,Voice Agent Report Historical 4.4.3.csv
