"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"AVG","","","","64.0","","","","","","","","","",""
"SUM","","","","","","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-05","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-06","","","","","","","","",""
"22","3087348","DD1022","287","32.2","2026-04-05","526","5.36","0.70","0","1","1.57","63","0","-0.22"
"22","3087348","DD1022","288","32.4","2026-04-06","475","9.46","0.42","0","2","1.61","","0","0.22"
"66","3087248","DD1170","100","91.3","2026-04-05","508","17.50","0.46","1","3","1.13","46","1","-6.39"
"66","3087248","DD1170","101","85.5","2026-04-06","422","20.77","0.44","1","3","1.22","41","2","-10.80"
"166","5927463","DD1171","465","","2026-04-05","574","","","","","","","",""
"166","5927463","DD1171","466","","2026-04-06","566","","","","","","","",""
"96","3087977","DD1196","226","72.1","2026-04-05","559","12.14","0.17","0","2","1.28","73","0","-5.73"
"96","3087977","DD1196","227","70.5","2026-04-06","558","13.10","0.22","0","2","1.24","73","0","-6.61"
"182","6634654","DD1342","218","82.7","2026-04-05","586","17.08","0.26","0","4","1.41","155","2","-9.92"
"182","6634654","DD1342","219","63.7","2026-04-06","618","20.36","0.35","1","3","1.47","219","4","-26.46"
"110","3087310","DD1351","247","83.8","2026-04-05","618","16.43","0.36","0","4","1.44","522","8","-8.82"
"110","3087310","DD1351","248","78.0","2026-04-06","592","16.43","0.36","0","4","1.49","522","10","-14.33"
"16","3087866","DD1357","221","54.0","2026-04-05","458","9.81","0.18","0","2","1.16","","5","-6.61"
"16","3087866","DD1357","222","53.4","2026-04-06","472","11.29","0.17","0","2","1.17","","0","-6.83"
"34","3086177","DD1364","53","65.0","2026-04-05","384","16.37","2.29","0","3","1.35","2517","1","3.53"
"34","3086177","DD1364","54","69.4","2026-04-06","442","10.71","0.17","0","2","1.28","2237","2","7.05"
"76","3087596","DD1349","457","61.5","2026-04-05","475","17.26","0.27","0","3","1.47","234","0","-4.41"
"76","3087596","DD1349","458","61.1","2026-04-06","476","14.52","0.24","0","3","1.50","234","1","-4.41"
"42","3087165","DD1262","141","23.1","2026-04-05","555","8.10","0.08","0","2","1.46","1983","1","7.50"
"42","3087165","DD1262","142","26.0","2026-04-06","542","13.10","0.15","0","3","1.38","1588","1","15.65"
"111","3086497","DD1402","351","69.2","2026-04-05","523","14.76","0.20","0","3","1.39","389","6","-8.60"
"111","3086497","DD1402","352","64.2","2026-04-06","600","16.07","0.28","0","3","1.47","1163","1","-12.57"
"80","3086149","DD1406","326","61.1","2026-04-05","486","15.89","0.31","0","4","1.44","1951","10","0.44"
"80","3086149","DD1406","327","59.1","2026-04-06","505","12.86","0.33","2","2","1.39","1285","0","-0.22"
"205","5925505","DD1413","254","47.0","2026-04-05","424","15.24","0.21","0","3","1.45","","2","-10.14"
"205","5925505","DD1413","255","47.2","2026-04-06","504","11.15","0.35","0","2","1.51","","0","-9.04"
"101","3087282","DD1272","234","87.5","2026-04-05","361","11.90","0.21","0","2","1.42","","0","-5.95"
"101","3087282","DD1272","235","77.8","2026-04-06","329","18.87","1.75","0","3","1.40","","0","-14.11"
"246","3086605","DD1411","445","","2026-04-05","495","","","","","","","",""
"246","3086605","DD1411","446","","2026-04-06","528","","","","","","","",""
"57","3087322","DD1285","131","77.4","2026-04-05","578","12.84","0.41","0","2","1.33","","7","-6.17"
"57","3087322","DD1285","132","72.5","2026-04-06","617","20.11","2.77","0","3","1.39","","1","-10.58"
"132","3087361","DD1311","465","","2026-04-05","324","","","","","","","",""
"132","3087361","DD1311","466","","2026-04-06","393","","","","","","","",""
"173","3542711","DD1321","20","112.4","2026-04-05","660","15.95","0.41","0","4","1.11","34","1","4.63"
"173","3542711","DD1321","21","95.0","2026-04-06","617","21.07","0.47","0","4","1.15","357","0","-14.77"
"63","3086272","DD1423","325","56.0","2026-04-05","509","12.62","0.24","0","3","1.37","522","2","-5.29"
"63","3086272","DD1423","326","53.4","2026-04-06","480","13.63","0.28","0","3","1.44","263","3","-7.50"
"29","3086671","DD1595","285","52.7","2026-04-05","439","16.79","0.19","0","3","0.97","","0","-6.39"
"29","3086671","DD1595","286","51.8","2026-04-06","450","10.71","2.02","0","2","0.98","","0","-6.61"
"93","3086243","DD1425","333","66.4","2026-04-05","554","16.01","0.25","0","4","1.29","94","7","-15.43"
"93","3086243","DD1425","334","65.3","2026-04-06","489","15.30","0.26","0","4","1.38","196","4","-14.77"
"149","3087997","DD1416","325","59.3","2026-04-05","553","14.32","0.28","0","3","1.33","","6","-5.29"
"149","3087997","DD1416","326","54.9","2026-04-06","449","12.77","1.37","0","2","1.39","","0","-9.26"
"83","6641288","DD1426","208","89.9","2026-04-05","636","22.98","0.47","0","5","1.26","100","7","-9.04"
"83","6641288","DD1426","209","83.6","2026-04-06","592","18.39","0.38","0","4","1.27","82","5","-14.11"
"46","3351614","DD1415","229","81.8","2026-04-05","538","17.50","0.35","0","4","1.20","561","1","-10.14"
"46","3351614","DD1415","230","79.6","2026-04-06","520","16.43","0.36","0","4","1.21","167","2","-10.80"
"21","3087503","DD1420","282","73.9","2026-04-05","485","18.93","0.34","0","3","1.43","58","0","-17.64"
"21","3087503","DD1420","283","70.8","2026-04-06","454","17.20","0.37","1","3","1.44","23","0","-18.74"
"190","3353629","US DD1432","202","58.0","2026-04-05","453","15.24","0.18","0","3","1.58","77","11","-8.16"
"190","3353629","US DD1432","203","59.1","2026-04-06","513","14.40","0.22","0","3","1.53","104","4","-6.39"
"92","3087516","DD1433","182","86.4","2026-04-05","474","24.58","0.92","0","4","1.22","2069","3","-9.48"
"92","3087516","DD1433","183","85.8","2026-04-06","471","15.12","0.32","0","3","1.22","1259","0","-9.04"
"78","3087494","DD1435","68","96.3","2026-04-05","553","19.35","0.44","0","5","1.01","1965","4","-10.36"
"78","3087494","DD1435","69","91.0","2026-04-06","493","19.70","0.37","0","4","1.13","2762","1","-13.89"
"103","3087255","DD1438","20","128.3","2026-04-05","604","18.99","0.47","0","4","1.16","30","1","-3.09"
"103","3087255","DD1438","21","117.7","2026-04-06","591","22.62","0.54","0","5","1.28","45","3","-13.45"
"62","3087292","US DD1627","190","84.0","2026-04-05","618","18.10","0.34","0","4","1.28","39","1","-17.42"
"62","3087292","US DD1627","191","82.0","2026-04-06","591","19.64","0.40","0","4","1.33","34","0","-17.86"
"211","6641911","DD1440","341","83.6","2026-04-05","485","16.86","0.33","0","4","1.42","","13","-11.90"
"211","6641911","DD1440","342","82.5","2026-04-06","492","17.35","0.37","0","4","1.41","","3","-11.90"
"271","6642304","DD1441","155","69.0","2026-04-05","520","13.33","0.28","0","2","1.36","91","0","-6.39"
"271","6642304","DD1441","156","61.1","2026-04-06","506","13.33","2.89","0","2","1.37","","0","-13.01"
"115","3087667","DD1442","2","48.7","2026-04-05","467","5.89","0.13","0","4","1.22","","6","5.07"
"115","3087667","DD1442","3","53.8","2026-04-06","494","5.48","0.08","0","3","1.13","","5","2.65"
"123","3086581","DD1443","308","44.3","2026-04-05","569","11.43","2.00","0","2","1.58","","3","-9.92"
"123","3086581","DD1443","309","44.1","2026-04-06","546","6.63","1.62","0","1","1.56","","2","-9.26"
"1063","","DD1444","","","2026-04-05","","","","","","","","",""
"1063","","DD1444","","","2026-04-06","","","","","","","","",""
"139","3087241","DD1445","238","55.1","2026-04-05","442","11.85","1.37","0","2","1.15","","11","-8.38"
"139","3087241","DD1445","239","57.3","2026-04-06","512","15.03","0.19","0","3","1.20","","2","-5.29"
"268","6641401","DD1446","296","80.7","2026-04-05","545","15.83","0.30","0","4","1.12","37","11","-8.82"
"268","6641401","DD1446","297","67.9","2026-04-06","477","16.85","0.39","0","4","1.13","52","7","-19.84"
"71","3087258","DD1447","367","83.3","2026-04-05","497","20.30","0.41","0","5","1.45","65","5","-20.50"
"71","3087258","DD1447","368","87.5","2026-04-06","508","16.37","0.45","1","4","1.34","62","7","-14.77"
"6","3087355","DD1449","321","90.4","2026-04-05","528","25.00","0.44","0","4","1.37","25","1","-10.80"
"6","3087355","DD1449","322","87.3","2026-04-06","447","17.02","0.32","0","3","1.34","30","1","-12.79"
"56","3086452","DD1453","224","55.6","2026-04-05","555","11.90","1.35","0","2","1.45","110","0","-4.63"
"56","3086452","DD1453","225","48.1","2026-04-06","393","12.20","1.81","1","1","1.40","","0","-10.80"
"222","6632589","DD1455","233","83.6","2026-04-05","592","18.33","0.40","0","4","1.46","578","0","-11.46"
"222","6632589","DD1455","234","78.9","2026-04-06","372","14.52","0.37","0","3","1.46","492","2","-14.77"
"73","3542905","DD1328","194","67.7","2026-04-05","487","15.30","0.22","0","3","1.44","1247","2","-13.67"
"73","3542905","DD1328","195","69.2","2026-04-06","434","15.77","0.26","0","3","1.49","996","0","-11.46"
"1081","","DD1459","","","2026-04-05","","","","","","","","",""
"1081","","DD1459","","","2026-04-06","","","","","","","","",""
"14","3087979","DD1332","198","70.3","2026-04-05","515","17.68","0.35","0","3","1.10","24","2","-11.90"
"14","3087979","DD1332","199","71.9","2026-04-06","505","17.68","0.43","0","4","1.22","29","3","-9.26"
"118","3087755","US DD1456","327","88.0","2026-04-05","513","18.10","0.34","0","4","1.39","71","5","-12.13"
"118","3087755","US DD1456","328","84.2","2026-04-06","475","16.19","0.35","0","4","1.39","71","12","-14.55"
"45","3086129","DD1462","330","","2026-04-05","408","","","","","","","",""
"45","3086129","DD1462","331","","2026-04-06","445","","","","","","","",""
"269","6642024","DD1463","652","","2026-04-05","535","","","","","","","",""
"269","6642024","DD1463","653","","2026-04-06","442","","","","","","","",""
"143","3183515","DD1467","234","79.6","2026-04-05","491","14.76","0.23","0","3","1.49","177","2","-13.89"
"143","3183515","DD1467","235","73.2","2026-04-06","523","18.69","0.30","0","3","1.46","225","6","-18.52"
"199","6633146","DD1470","202","97.2","2026-04-05","519","18.27","0.24","0","3","1.27","485","0","-15.65"
"199","6633146","DD1470","203","95.7","2026-04-06","481","17.80","0.29","0","3","1.28","485","0","-15.21"
"23","3087231","DD1471","362","53.1","2026-04-05","472","19.33","0.28","0","4","1.31","","19","-18.74"
"23","3087231","DD1471","363","52.9","2026-04-06","535","14.96","0.23","0","3","1.38","","25","-17.42"
"69","3087141","DD1473","318","88.6","2026-04-05","490","15.95","0.28","0","4","1.24","43","10","-13.67"
"69","3087141","DD1473","319","85.3","2026-04-06","508","19.11","0.39","1","4","1.22","43","0","-15.87"
"127","3086217","DD1474","200","59.5","2026-04-05","437","10.89","0.27","0","2","1.31","146","0","-2.65"
"127","3086217","DD1474","201","57.3","2026-04-06","440","13.39","2.26","0","2","1.29","","0","-4.19"
"94","3087594","DD1476","191","71.9","2026-04-05","542","13.21","0.93","0","2","1.20","158","0","-5.95"
"94","3087594","DD1476","192","66.8","2026-04-06","573","13.33","3.17","0","2","1.18","125","0","-10.36"
"26","3087118","DD1478","240","103.2","2026-04-05","567","17.74","1.11","13","1","1.09","42","1","-11.02"
"26","3087118","DD1478","241","94.8","2026-04-06","382","16.96","1.28","17","0","1.16","9","0","-17.42"
"108","3542732","DD1479","232","87.5","2026-04-05","509","20.00","1.63","0","3","1.36","89","0","-14.55"
"108","3542732","DD1479","233","82.7","2026-04-06","455","18.87","0.26","0","3","1.35","41","1","-17.64"
"202","3087167","DD1480","99","79.6","2026-04-05","566","13.33","5.60","0","2","1.27","13","0","-15.65"
"202","3087167","DD1480","100","73.9","2026-04-06","451","12.20","5.41","0","2","1.35","198","0","-18.74"
"162","5926949","DD1482","203","64.2","2026-04-05","545","16.43","0.47","2","2","1.19","","1","-17.64"
"162","5926949","DD1482","204","72.5","2026-04-06","458","16.49","0.34","0","4","1.30","21","2","-8.16"
"152","3353711","DD1484","83","96.3","2026-04-05","507","20.18","0.41","0","4","1.62","","0","-10.14"
"152","3353711","DD1484","84","97.2","2026-04-06","512","16.23","0.27","0","3","1.56","","0","-8.38"
"1108","","DD1485","","","2026-04-05","","","","","","","","",""
"1108","","DD1485","","","2026-04-06","","","","","","","","",""
"124","3087250","DD1486","216","71.4","2026-04-05","371","16.90","0.23","0","3","1.52","50","0","-10.14"
"124","3087250","DD1486","217","65.3","2026-04-06","360","19.52","0.30","0","4","1.58","52","1","-14.77"
"98","3087882","DD1487","109","113.5","2026-04-05","590","18.75","0.31","0","3","1.14","84","0","-12.13"
"98","3087882","DD1487","110","111.6","2026-04-06","520","19.17","0.31","0","3","1.18","84","0","-12.57"
"49","3086283","DD1488","362","","2026-04-05","487","","","","","","","",""
"49","3086283","DD1488","363","","2026-04-06","525","","","","","","","",""
"31","3087281","DD1394","103","93.7","2026-04-05","499","16.19","0.39","0","4","1.16","113","3","-1.98"
"31","3087281","DD1394","104","89.7","2026-04-06","423","18.15","0.43","0","4","1.16","","1","-4.63"
"142","3086184","DD1376","531","","2026-04-05","444","","","","","","","",""
"142","3086184","DD1376","532","","2026-04-06","546","","","","","","","",""
