"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"97","3088051","DD1373","476","0.0","2026-04-05","419","","","0","0","","","5","0.00"
"97","3088051","DD1373","477","0.0","2026-04-06","310","","","0","0","","","3","0.00"
"40","3087510","DD1397","133","83.6","2026-04-05","439","19.40","0.37","0","4","1.22","381","1","-12.35"
"40","3087510","DD1397","134","87.1","2026-04-06","455","13.93","0.28","0","3","1.18","","0","-8.60"
"116","3086998","DD1407","372","","2026-04-05","442","","","","","","","",""
"116","3086998","DD1407","373","","2026-04-06","459","","","","","","","",""
"35","3087215","DD1400","377","","2026-04-05","488","","","","","","","",""
"35","3087215","DD1400","378","","2026-04-06","517","","","","","","","",""
"133","3087396","DD1374","226","70.1","2026-04-05","456","13.33","0.17","0","2","1.21","27","0","-3.75"
"133","3087396","DD1374","227","64.2","2026-04-06","495","17.74","0.25","0","3","1.23","28","0","-8.82"
"28","3087460","DD1380","154","56.7","2026-04-05","516","14.23","0.22","0","3","1.35","38","3","-5.07"
"28","3087460","DD1380","155","54.5","2026-04-06","515","17.38","0.23","0","3","1.38","47","0","-6.61"
"91","3087334","US DD1396","452","57.1","2026-04-05","491","12.80","0.26","0","3","1.41","135","8","-8.16"
"91","3087334","US DD1396","453","52.0","2026-04-06","416","16.43","0.35","0","4","1.46","108","8","-12.13"
"151","3086706","DD1489","","","2026-04-05","416","","","","","","","",""
"151","3086706","DD1489","","","2026-04-06","460","","","","","","","",""
"24","3086116","DD1490","121","87.7","2026-04-05","536","18.10","0.27","0","3","1.20","123","0","-8.82"
"24","3086116","DD1490","122","85.8","2026-04-06","509","19.17","0.34","0","4","1.24","119","5","-9.70"
"95","3086498","DD1493","277","57.5","2026-04-05","482","17.80","1.17","0","3","1.73","129","0","-17.20"
"95","3086498","DD1493","278","59.1","2026-04-06","531","15.36","0.30","0","3","1.75","","1","-14.33"
"32","3087545","DD1494","104","100.7","2026-04-05","587","16.79","0.36","0","4","1.20","42","5","-14.11"
"32","3087545","DD1494","105","101.6","2026-04-06","516","21.43","0.47","0","5","1.20","53","6","-11.68"
"47","3087308","DD1495","43","129.2","2026-04-05","564","19.46","0.56","0","4","1.05","22","15","-21.16"
"47","3087308","DD1495","44","127.2","2026-04-06","618","23.57","0.65","0","5","1.03","24","6","-21.16"
"234","6635136","DD1496","194","77.4","2026-04-05","420","15.54","0.29","0","4","1.27","51","3","-13.89"
"234","6635136","DD1496","195","81.3","2026-04-06","498","17.50","0.36","0","4","1.22","33","2","-9.48"
"250","6635110","DD1500","242","50.5","2026-04-05","563","16.65","0.32","0","3","1.35","","0","-6.61"
"250","6635110","DD1500","243","50.3","2026-04-06","555","10.44","0.21","0","2","1.37","","4","-6.39"
"72","3087950","DD1501","53","89.5","2026-04-05","448","15.71","0.27","0","3","0.96","29","2","0.66"
"72","3087950","DD1501","54","90.4","2026-04-06","406","17.14","0.33","0","3","1.01","39","0","1.54"
"125","3087179","DD1502","343","35.1","2026-04-05","449","11.85","1.35","0","2","1.31","","0","-7.94"
"125","3087179","DD1502","344","36.2","2026-04-06","407","10.09","0.91","0","2","1.36","","2","-6.39"
"50","3086511","DD1503","263","61.3","2026-04-05","541","13.26","0.20","0","3","1.41","","3","-8.16"
"50","3086511","DD1503","264","60.8","2026-04-06","551","17.50","0.27","0","4","1.34","","6","-7.94"
"77","3086851","DD1365","45","63.7","2026-04-05","517","17.26","0.28","0","3","1.62","","1","3.09"
"77","3086851","DD1365","46","64.2","2026-04-06","425","11.37","0.17","0","2","1.60","2721","2","3.53"
"172","3351267","DD1505","241","55.3","2026-04-05","520","17.00","0.21","0","3","1.27","","2","-13.67"
"172","3351267","DD1505","242","56.2","2026-04-06","448","15.38","0.21","0","3","1.33","","4","-11.68"
"220","6633304","DD1506","415","","2026-04-05","421","","","","","","","",""
"220","6633304","DD1506","416","","2026-04-06","499","","","","","","","",""
"213","6635043","DD1507","263","66.1","2026-04-05","503","19.40","0.34","0","4","1.31","","4","-9.26"
"213","6635043","DD1507","264","65.3","2026-04-06","527","12.98","0.24","0","3","1.32","","1","-9.26"
"53","3086247","DD1508","269","80.5","2026-04-05","511","17.14","0.27","0","4","1.20","24","0","-5.73"
"53","3086247","DD1508","270","80.5","2026-04-06","492","14.64","0.21","0","3","1.24","24","1","-4.85"
"55","3183487","DD1510","277","40.1","2026-04-05","404","10.65","0.99","0","2","1.28","","1","-4.19"
"55","3183487","DD1510","278","39.7","2026-04-06","386","11.64","1.07","0","2","1.30","","3","-4.19"
"214","6635135","DD1511","295","59.3","2026-04-05","454","11.71","0.13","0","2","1.31","","7","-13.67"
"214","6635135","DD1511","296","58.6","2026-04-06","581","15.45","0.17","0","3","1.33","","6","-13.23"
"1141","","DD1512","","","2026-04-05","","","","","","","","",""
"1141","","DD1512","","","2026-04-06","","","","","","","","",""
"183","3087417","DD1513","265","80.2","2026-04-05","534","13.33","0.27","0","3","1.38","","7","-9.48"
"183","3087417","DD1513","266","75.8","2026-04-06","492","19.19","0.34","0","4","1.41","","6","-12.57"
"41","3087391","DD1514","273","71.9","2026-04-05","518","15.38","0.21","0","3","1.27","","11","-10.36"
"41","3087391","DD1514","274","72.8","2026-04-06","433","16.72","0.22","0","3","1.28","","3","-8.60"
"808","3087269","DD1521","234","59.7","2026-04-05","484","14.81","0.21","0","3","1.37","","4","-12.79"
"808","3087269","DD1521","235","57.5","2026-04-06","498","15.73","0.19","0","3","1.36","","1","-13.89"
"87","3087609","DD1522","294","55.3","2026-04-05","521","8.75","0.15","0","2","1.56","","40","-31.08"
"87","3087609","DD1522","295","61.3","2026-04-06","467","7.83","0.09","0","2","1.63","","12","-22.93"
"82","3087220","DD1523","279","30.0","2026-04-05","522","6.14","0.03","0","1","1.42","","0","-10.14"
"82","3087220","DD1523","280","31.5","2026-04-06","586","12.13","3.62","0","2","1.46","","0","-7.72"
"803","5927959","DD1524","254","54.7","2026-04-05","592","13.19","0.87","0","2","1.30","","2","-7.28"
"803","5927959","DD1524","255","56.0","2026-04-06","677","6.70","2.43","0","1","1.29","","0","-5.07"
"140","3352078","DD1525","251","49.6","2026-04-05","466","14.67","0.24","0","3","1.34","","11","-7.28"
"140","3352078","DD1525","252","49.2","2026-04-06","470","9.52","0.13","0","2","1.37","","14","-7.05"
"158","3087680","DD1528","267","60.0","2026-04-05","440","13.47","0.26","0","3","1.16","","7","-12.13"
"158","3087680","DD1528","268","60.2","2026-04-06","376","17.78","0.29","0","4","1.25","","6","-10.80"
"1157","","DD1529","","","2026-04-05","","","","","","","","",""
"1157","","DD1529","","","2026-04-06","","","","","","","","",""
"206","3543433","DD1530","254","52.0","2026-04-05","525","16.01","0.19","0","3","1.69","52","0","-6.61"
"206","3543433","DD1530","255","50.5","2026-04-06","417","14.88","0.20","1","2","1.69","61","0","-7.28"
"1162","","DD1533","","","2026-04-05","","","","","","","","",""
"1162","","DD1533","","","2026-04-06","","","","","","","","",""
"804","3087379","US DD1393","407","35.1","2026-04-05","520","12.26","0.13","0","3","1.13","17","5","-4.85"
"804","3087379","US DD1393","408","32.2","2026-04-06","590","11.07","0.13","0","3","1.17","11","1","-7.05"
"48","3087565","DD1534","238","59.1","2026-04-05","416","13.62","0.20","0","3","1.27","","3","-5.73"
"48","3087565","DD1534","239","54.9","2026-04-06","397","13.62","0.18","0","3","1.30","","13","-9.26"
"148","3087735","DD1535","278","66.1","2026-04-05","452","14.11","0.26","0","3","1.32","833","4","-9.26"
"148","3087735","DD1535","279","62.6","2026-04-06","484","17.26","0.20","0","3","1.34","240","3","-11.68"
"262","6634652","DD1537","283","53.6","2026-04-05","468","13.05","0.36","0","2","1.37","","2","-4.85"
"262","6634652","DD1537","284","52.2","2026-04-06","363","10.37","0.17","0","2","1.36","","0","-5.51"
"1169","","DD1539","","","2026-04-05","","","","","","","","",""
"1169","","DD1539","","","2026-04-06","","","","","","","","",""
"134","3087229","DD1540","155","60.2","2026-04-05","425","14.29","0.40","0","3","1.18","36","0","-7.28"
"134","3087229","DD1540","156","61.1","2026-04-06","376","13.39","0.35","0","3","1.27","41","2","-5.95"
"7","3087274","DD1542","270","50.3","2026-04-05","633","11.71","0.45","0","2","1.60","","3","-5.73"
"7","3087274","DD1542","271","45.9","2026-04-06","534","12.35","0.95","0","2","1.64","","0","-9.48"
"207","3086128","DD1543","257","64.2","2026-04-05","605","13.76","0.22","0","3","1.17","","9","-8.60"
"207","3086128","DD1543","258","64.6","2026-04-06","585","14.32","0.18","0","3","1.28","","6","-7.72"
"1174","","DD1544","","","2026-04-05","","","","","","","","",""
"1174","","DD1544","","","2026-04-06","","","","","","","","",""
"15","3087121","DD1546","278","50.3","2026-04-05","379","13.05","0.22","0","3","1.36","","4","-7.05"
"15","3087121","DD1546","279","47.6","2026-04-06","499","11.92","0.17","0","2","1.35","","0","-8.82"
"135","3086678","DD1547","448","0.0","2026-04-05","448","","","0","0","","","3","0.00"
"135","3086678","DD1547","449","0.0","2026-04-06","562","","","0","0","","","1","0.00"
"159","3087807","DD1548","291","69.7","2026-04-05","453","18.34","0.35","0","4","1.41","","6","-17.20"
"159","3087807","DD1548","292","73.0","2026-04-06","437","12.63","0.22","0","3","1.43","","14","-12.79"
"61","3086148","DD1550","258","50.7","2026-04-05","455","11.15","0.18","0","2","1.40","","13","-8.38"
"61","3086148","DD1550","259","50.5","2026-04-06","535","17.92","0.25","0","3","1.46","","3","-7.72"
"155","3086104","DD1551","288","49.6","2026-04-05","507","13.90","0.20","0","3","1.29","","15","-7.28"
"155","3086104","DD1551","289","47.2","2026-04-06","512","11.22","0.16","0","2","1.25","","5","-8.82"
"1183","","DD1553","","","2026-04-05","","","","","","","","",""
"1183","","DD1553","","","2026-04-06","","","","","","","","",""
"1184","","US DD1554","","","2026-04-05","","","","","","","","",""
"1184","","US DD1554","","","2026-04-06","","","","","","","","",""
"106","3087159","US DD1556","","","2026-04-05","230","","","","","","","",""
"106","3087159","US DD1556","","","2026-04-06","220","","","","","","","",""
"20","3086114","DD1558","145","50.3","2026-04-05","437","11.78","1.90","0","2","1.18","","0","-4.63"
"20","3086114","DD1558","146","49.8","2026-04-06","485","11.29","0.17","0","2","1.24","","1","-4.41"
"74","3087864","US DD1559","258","54.7","2026-04-05","432","13.83","0.19","0","3","1.39","","11","-5.73"
"74","3087864","US DD1559","259","54.9","2026-04-06","488","14.60","0.15","0","3","1.42","","3","-5.07"
"264","6633230","US DD1560","271","43.7","2026-04-05","474","11.92","1.59","0","2","1.37","","0","-12.13"
"264","6633230","US DD1560","272","43.0","2026-04-06","492","11.43","1.84","0","2","1.44","","1","-11.46"
"165","5925519","US DD1563","283","47.4","2026-04-05","494","12.77","0.42","0","2","1.41","","0","-9.26"
"165","5925519","US DD1563","284","48.3","2026-04-06","545","12.70","0.94","0","2","1.44","","1","-7.50"
"186","3087125","US DD1564","245","63.5","2026-04-05","514","14.11","0.32","1","3","1.37","","10","-19.62"
"186","3087125","US DD1564","246","69.9","2026-04-06","655","14.67","0.26","0","4","1.41","","5","-11.68"
"84","3086109","US DD1565","249","86.6","2026-04-05","546","16.72","0.41","0","4","1.15","","7","-16.31"
"84","3086109","US DD1565","250","86.6","2026-04-06","515","15.80","0.28","0","3","1.26","","4","-14.99"
"25","3087364","US DD1567","276","30.0","2026-04-05","430","14.25","0.40","0","3","1.50","","3","-8.82"
"25","3087364","US DD1567","277","33.7","2026-04-06","281","10.37","1.08","0","2","1.54","","0","-4.63"
"168","3183540","US DD1568","252","85.5","2026-04-05","504","18.04","0.36","0","4","1.16","94","1","-9.04"
"168","3183540","US DD1568","253","82.7","2026-04-06","453","17.38","0.28","0","3","1.13","103","8","-10.80"
"1200","","US DD1569","","","2026-04-05","","","","","","","","",""
"1200","","US DD1569","","","2026-04-06","","","","","","","","",""
"1201","","US DD1570","","","2026-04-05","","","","","","","","",""
"1201","","US DD1570","","","2026-04-06","","","","","","","","",""
"10","3086174","US DD1571","264","50.9","2026-04-05","507","12.49","0.33","0","2","1.34","","7","-20.06"
"10","3086174","US DD1571","265","58.9","2026-04-06","531","11.71","0.15","0","2","1.35","","6","-10.58"
"345","3184368","US DD1572","12","57.5","2026-04-05","518","11.30","0.34","3","2","1.02","","0","12.35"
"345","3184368","US DD1572","13","63.5","2026-04-06","578","11.99","0.99","2","2","1.04","","1","11.90"
"263","6634659","US DD1573","149","31.7","2026-04-05","396","10.37","0.90","0","2","1.18","","1","-7.50"
"263","6634659","US DD1573","150","30.9","2026-04-06","356","10.65","0.11","0","2","1.24","","0","-7.94"
"99","3352005","US DD1585","241","51.8","2026-04-05","508","16.65","0.26","0","3","1.33","","3","-11.68"
"99","3352005","US DD1585","242","50.0","2026-04-06","525","10.30","0.16","0","2","1.36","","0","-12.35"
"185","3087303","US DD1586","237","47.6","2026-04-05","527","14.04","0.42","2","3","1.20","","8","-16.09"
"185","3087303","US DD1586","238","55.3","2026-04-06","541","13.33","0.19","0","3","1.42","","5","-7.28"
"1219","","US DD1589","","","2026-04-05","","","","","","","","",""
"1219","","US DD1589","","","2026-04-06","","","","","","","","",""
"1220","","US DD1590","","","2026-04-05","","","","","","","","",""
"1220","","US DD1590","","","2026-04-06","","","","","","","","",""
"1222","","US DD1600","","","2026-04-05","","","","","","","","",""
"1222","","US DD1600","","","2026-04-06","","","","","","","","",""
"1223","","US DD1601","","","2026-04-05","","","","","","","","",""
"1223","","US DD1601","","","2026-04-06","","","","","","","","",""
"90","3087156","DD1599","5","31.5","2026-04-05","604","6.56","2.61","0","2","1.10","","1","4.19"
"90","3087156","DD1599","6","39.2","2026-04-06","658","5.71","0.31","0","2","1.13","","4","3.75"
"13","3086569","US DD1602","214","62.8","2026-04-05","519","16.85","0.23","1","3","1.10","612","3","-5.51"
"13","3086569","US DD1602","215","45.0","2026-04-06","463","11.67","0.26","1","2","1.14","753","0","-21.38"
"255","6635055","US DD1603","137","62.4","2026-04-05","490","15.80","0.27","0","3","1.21","","4","-10.80"
"255","6635055","US DD1603","138","60.4","2026-04-06","626","13.19","0.19","0","2","1.26","","3","-11.68"
"147","3086154","US DD1604","611","37.0","2026-04-05","532","8.45","0.12","0","2","1.11","64","1","-3.97"
"147","3086154","US DD1604","612","35.3","2026-04-06","491","11.49","1.24","0","2","1.15","64","0","-5.07"
"1226","","US DD1605","","","2026-04-05","","","","","","","","",""
"1226","","US DD1605","","","2026-04-06","","","","","","","","",""
"156","3085889","US DD1607","232","82.5","2026-04-05","451","17.14","0.25","0","4","1.19","26","5","-4.41"
"156","3085889","US DD1607","233","75.6","2026-04-06","394","14.58","0.52","0","3","1.21","25","2","-10.58"
