"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"20043","","","","","","","",""
"1387","","","","","","","",""
"1388","","","","","","","",""
"1389","","","","","","","",""
"1390","","","","","","","",""
"1391","","","","","","","",""
"1392","","","","","","","",""
"1393","","","","","","","",""
"1394","","","","","","","",""
"1395","","","","","","","",""
"1396","","","","","","","",""
"1397","","","","","","","",""
"1398","","","","","","","",""
"1399","","","","","","","",""
"1400","","","","","","","",""
"1401","","","","","","","",""
"1402","","","","","","","",""
"1403","","","","","","","",""
"1404","","","","","","","",""
"1407","","","","","","","",""
"1408","","","","","","","",""
"1410","","","","","","","",""
"1411","","","","","","","",""
"1412","","","","","","","",""
"1413","","","","","","","",""
"1414","","","","","","","",""
"1415","","","","","","","",""
"1416","","","","","","","",""
"20045","","","","","","","",""
"1417","","","","","","","",""
"1418","","","","","","","",""
"1419","","","","","","","",""
"1420","","","","","","","",""
"20046","","","","","","","",""
"1421","","","","","","","",""
"1422","","","","","","","",""
"1423","","","","","","","",""
"1424","","","","","","","",""
"1425","","","","","","","",""
"1426","","","","","","","",""
"20047","","","","","","","",""
"0","","","","","","","",""
"1427","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1428","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1429","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1430","","","","","","","",""
"1431","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1432","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1433","","","","","","","",""
"1434","","","","","","","",""
"1435","","","","","","","",""
"20048","","","","","","","",""
"1436","","","","","","","",""
"1437","","","","","","","",""
"1439","","","","","","","",""
"1438","","","","","","","",""
"0","","","","","","","",""
"1441","","","","","","","",""
"1442","","","","","","","",""
"1443","","","","","","","",""
"1444","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"81","3087668","","","","","","Female infertility","IV"
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1445","","","","","","","",""
"1446","","","","","","","",""
"1447","","","","","","","",""
"1449","","","","","","","",""
"1450","","","","","","","",""
"1451","","","","","","","",""
"1452","","","","","","","",""
"1453","","","","","","","",""
"1454","","","","","","","",""
"1456","","","","","","","",""
"1457","","","","","","","",""
"1458","","","","","","","",""
"1459","","","","","","","",""
"75","3088111","Conductivity LF<br/>","84    <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"1460","","","","","","","",""
"1461","","","","","","","",""
"1462","","","","","","","",""
"1463","","","","","","","",""
"1464","","","","","","","",""
"1465","","","","","","","",""
"1466","","","","","","","",""
"1467","","","","","","","",""
"1468","","","","","","","",""
"1469","","","","","","","",""
"1470","","","","","","","",""
"0","","","","","","","",""
"20049","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1471","","","","","","","",""
"1472","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1473","","","","","","","",""
"1474","","","","","","","",""
"1476","","","","","","","",""
"1475","","","","","","","",""
"1477","","","","","","","",""
"1478","","","","","","","",""
"1479","","","","","","","",""
"1480","","","","","","","",""
"1481","","","","","","","",""
"1482","","","","","","","",""
"0","","","","","","","",""
"1485","","","","","","","",""
"1486","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1487","","","","","","","",""
"1488","","","","","","","",""
"1489","","","","","","","",""
"1490","","","","","","","",""
"1491","","","","","","","",""
"0","","","","","","","",""
"1492","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"191","3183576","","","","","","Acute Mastitis (acute catarrhal mastitis)","I"
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1493","","","","","","","",""
"1494","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1207","","","","","","","",""
"1213","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1497","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1498","","","","","","","",""
"1499","","","","","","","",""
"0","","","","","","","",""
"1500","","","","","","","",""
"0","","","","","","","",""
"1501","","","","","","","",""
"0","","","","","","","",""
"1502","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1503","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"0","","","","","","","",""
"1504","","","","","","","",""
"1505","","","","","","","",""
"1506","","","","","","","",""
