"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"AVG","","","","60.5","","","","","","","","","",""
"SUM","","","","","","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-09","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-10","","","","","","","","",""
"22","3087348","DD1022","291","25.8","2026-04-09","396","5.18","2.80","0","1","1.59","130","1","-4.85"
"22","3087348","DD1022","292","26.0","2026-04-10","281","12.20","0.16","0","3","1.71","190","1","-3.97"
"66","3087248","DD1170","104","80.0","2026-04-09","216","17.26","0.56","4","2","1.28","23","1","-12.35"
"66","3087248","DD1170","105","76.3","2026-04-10","306","15.95","0.36","3","1","1.24","30","1","-16.31"
"166","5927463","DD1171","469","","2026-04-09","561","","","","","","","",""
"166","5927463","DD1171","470","","2026-04-10","525","","","","","","","",""
"96","3087977","DD1196","230","67.9","2026-04-09","474","15.54","0.27","0","3","1.22","42","0","-7.28"
"96","3087977","DD1196","231","67.5","2026-04-10","473","13.45","0.23","0","3","1.16","210","4","-6.83"
"182","6634654","DD1342","222","78.5","2026-04-09","399","16.01","0.25","0","4","1.44","117","10","-7.50"
"182","6634654","DD1342","223","77.8","2026-04-10","652","18.33","0.28","0","5","1.43","117","12","-6.83"
"110","3087310","DD1351","251","74.7","2026-04-09","491","17.32","0.39","0","5","1.35","123","12","-13.89"
"110","3087310","DD1351","252","73.9","2026-04-10","516","15.83","0.27","0","4","1.41","299","7","-13.23"
"16","3087866","DD1357","225","55.8","2026-04-09","357","13.26","0.21","0","3","1.18","","6","-3.53"
"16","3087866","DD1357","226","53.4","2026-04-10","427","10.93","0.12","0","2","1.20","","2","-5.29"
"34","3086177","DD1364","57","62.2","2026-04-09","357","13.10","0.29","0","3","1.33","2507","5","-1.76"
"34","3086177","DD1364","58","66.6","2026-04-10","412","16.31","0.30","0","3","1.25","2507","0","2.65"
"76","3087596","DD1349","461","62.4","2026-04-09","370","13.93","0.26","0","3","1.50","89","3","-1.32"
"76","3087596","DD1349","462","56.9","2026-04-10","379","14.29","0.18","0","3","1.52","89","1","-5.95"
"42","3087165","DD1262","145","33.7","2026-04-09","381","7.86","0.07","0","2","1.27","","3","18.52"
"42","3087165","DD1262","146","32.4","2026-04-10","389","13.21","0.17","0","3","1.26","1106","2","15.87"
"111","3086497","DD1402","355","69.9","2026-04-09","447","14.52","0.22","0","3","1.41","110","6","-4.41"
"111","3086497","DD1402","356","65.5","2026-04-10","564","12.14","0.19","0","3","1.40","86","5","-7.72"
"80","3086149","DD1406","330","54.9","2026-04-09","361","16.73","0.27","0","4","1.42","2135","19","-3.09"
"80","3086149","DD1406","331","57.3","2026-04-10","335","12.86","0.22","0","3","1.38","1698","18","0.22"
"205","5925505","DD1413","258","49.8","2026-04-09","424","15.10","0.24","0","3","1.46","","9","-4.19"
"205","5925505","DD1413","259","45.6","2026-04-10","378","13.97","0.21","0","3","1.47","","1","-7.50"
"101","3087282","DD1272","238","84.9","2026-04-09","311","19.58","0.39","0","4","1.39","80","4","-3.97"
"101","3087282","DD1272","239","83.1","2026-04-10","311","12.62","0.21","0","2","1.32","","2","-5.07"
"246","3086605","DD1411","449","","2026-04-09","576","","","","","","","",""
"246","3086605","DD1411","450","","2026-04-10","568","","","","","","","",""
