"","","Attention","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness"
"34","3086177","Time Away<br/>Conductivity RF<br/>","19:45 <br/>85    <br/>","<span style='width:18%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>"
"173","3542711","Blood LF<br/>SCC Indication<br/>Milk Drop<br/>Mastitis RR<br/>Conductivity RR<br/>"," <br/>2069  <br/>-20.7  <br/> <br/>84    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"103","3087255","Milk Drop<br/>Milk Temperature<br/>","-31.7 <br/>103.1  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"269","6642024","Blood RF<br/>Acute Inactive<br/>Milk Drop<br/>"," <br/>11:15 <br/>-3.3  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:100%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>"
"26","3087118","Milk Drop<br/>Activity(rumination)<br/>","-33.9 <br/>80    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/>"
"202","3087167","Milk Drop<br/>Activity(rumination)<br/>Milk Temperature<br/>","-19.8  <br/>83    <br/>103.2  <br/>","<span style='width:75%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"47","3087308","Milk Drop<br/>Fat Protein Ratio<br/>","-20.2  <br/>0.94  <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>"
"77","3086851","Mastitis LF<br/>Fat Protein Ratio<br/>Milk Temperature<br/>Conductivity LF<br/>"," <br/>1.58  <br/>103.8  <br/>92    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:43%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"172","3351267","Milk Drop<br/>","-19.1  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/>"
"345","3184368","Milk Temperature<br/>Activity(rumination)<br/>Time Away<br/>","104.9  <br/>84    <br/>25:29 <br/>","<span style='width:56%'class='severnesslinebar'></span><br/><span style='width:56%'class='severnesslinebar'></span><br/><span style='width:56%'class='severnesslinebar'></span><br/>"
"64","3087236","Time Away<br/>Milk Temperature<br/>Activity(rumination)<br/>","27:51 <br/>104.5  <br/>88    <br/>","<span style='width:68%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>"
"257","6634640","Conductivity LR<br/>Mastitis LR<br/>Abnormal LR, RF, RR<br/>Acute Inactive<br/>","106   <br/> <br/> <br/>8:45  <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>"
"27","3087387","Milk Drop<br/>Time Away<br/>Activity(rumination)<br/>Milk Temperature<br/>","-8.5  <br/>23:44 <br/>88    <br/>103.2  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:43%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"568","3184472","Mastitis RR<br/>Milk Temperature<br/>Conductivity RR<br/>"," <br/>103.8  <br/>95    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>"
"192","3543451","Conductivity RR<br/>Mastitis RR<br/>Milk Temperature<br/>","131   <br/> <br/>103.1  <br/>","<span style='width:68%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"217","6634709","Activity(rumination)<br/>Milk Drop<br/>","77    <br/>-33.0 <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/>"
"218","6632897","SCC Indication<br/>Milk Drop<br/>","632   <br/>-16.5  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>"
"4","3086632","SCC Indication<br/>Activity(rumination)<br/>","848   <br/>80    <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/>"
"164","3542845","Activity(rumination)<br/>Fat Protein Ratio<br/>Milk Temperature<br/>","83    <br/>0.93  <br/>104.1  <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>"
"235","6633202","Milk Drop<br/>","-20.2  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/>"
"75","3088111","Activity(rumination)<br/>Milk Drop<br/>Rest Feed<br/>","68    <br/>-34.8 <br/>37    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
