"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","19.3","25.9","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"12","New","x","US DD1752","1","3","20.3","Open","","","","","","","In Lactation","x","10.1","20.3","0","x","","2026-04-12","3086327"
"139","Increase","","DD1445","2","248","54.7","Pregnant","BOLDNESS SEXED","2025-10-19","","178","42","2026-07-26","In Lactation","x","20.9","54.7","1","x","","2025-08-10","3087241"
"60","Increase","x","US DD1640","1","16","9.5","Open","","","","","","","In Lactation","x","2.4","9.5","2","x","","2026-03-30","3087116"
"257","Increase","x","US DD1648","1","7","28.7","Open","","","","","","","In Lactation","","12.6","28.7","1","x","","2026-04-08","6634640"
"17","Increase","x","US DD1660","3","340","74.1","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","x","14.1","74.1","1","x","","2025-05-10","3086731"
"39","Increase","x","US DD1662","4","491","","Pregnant","ANGUS BLEND 17","2025-08-04","","254","","2026-05-11","Dry Off","","29.1","","1","x","","2024-12-10","6642027"
"261","Increase","x","US DD1829","3","144","80.5","Open Cyclic","POWERHOUSE -SEXED","2026-02-09","x","","","","In Lactation","","26.7","80.5","0","x","","2025-11-22","6634657"
"269","Decrease","","DD1463","2","8","44.5","Open","","","","","","","In Lactation","","13.4","44.5","2","x","","2026-04-07","6642024"
"26","Decrease","","DD1478","2","250","64.2","Pregnant","ANGUS BLEND 17","2025-10-31","","166","54","2026-08-07","In Lactation","","25.4","64.2","1","x","","2025-08-08","3087118"
"49","Decrease","","DD1488","2","1","32.6","Open","","","","","","","In Lactation","","15.4","32.6","0","x","","2026-04-14","3086283"
"77","Decrease","x","DD1365","4","55","61.3","Open","","","","","","","In Lactation","","16.8","61.3","0","x","","2026-02-19","3086851"
"64","Decrease","x","US DD1624","1","11","23.8","Open","","","","","","","In Lactation","x","3.1","23.8","0","x","","2026-04-04","3087236"
"30","Decrease","","US DD1646","1","4","38.1","Open","","","","","","","In Lactation","x","8.2","38.1","0","x","","2026-04-11","3087392"
"184","Decrease","","US DD1747","1","22","29.8","Open","","","","","","","In Lactation","","7.1","29.8","0","x","","2026-03-24","3183423"
"243","Decrease","","US DD1803","3","121","82.5","Inseminated","ANGUS BLEND 17","2026-04-03","","","","","In Lactation","","29.3","82.5","0","x","","2025-12-15","6633246"
"1111","","","NL 1235469870","","","","Never inseminated","","","","","","","In Lactation","","","","","","","",""
