"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"22","","","DD1022","7","297","28.0","Pregnant","BEETHOVEN SEXED","2025-10-08","","189","31","2026-07-15","In Lactation","","16.1","28.0","0","x","","2025-06-22","3087348"
"66","","","DD1170","8","110","82.7","Inseminated","POWERHOUSE -SEXED","2026-02-22","","","","","In Lactation","x","19.6","82.7","0","x","","2025-12-26","3087248"
"166","","","DD1171","12","475","","Pregnant","ADAGIO","2025-07-18","","271","","2026-04-24","Dry Off","","8.2","","2","x","","2024-12-26","5927463"
"96","","","DD1196","5","236","69.4","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","21.2","69.4","0","x","","2025-08-22","3087977"
"182","","","DD1342","4","228","76.1","Pregnant","LUCKYCHARM SEXED","2025-12-15","","121","99","2026-09-21","In Lactation","","19.2","76.1","0","x","","2025-08-30","6634654"
"110","","","DD1351","3","257","73.0","Open Cyclic","POWERHOUSE -SEXED","2026-02-26","x","","","","In Lactation","","17.0","73.0","0","x","","2025-08-01","3087310"
"16","","","DD1357","4","231","54.7","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","19.6","54.7","0","x","","2025-08-27","3087866"
"34","","","DD1364","4","63","68.1","Open","","","x","","","","In Lactation","","20.7","68.1","0","x","","2026-02-11","3086177"
"76","","","DD1349","3","467","60.2","Pregnant","ANGUS BLEND 17","2026-01-28","","77","143","2026-11-04","In Lactation","","25.1","60.2","0","x","","2025-01-03","3087596"
"42","","","DD1262","6","151","31.5","Inseminated","ANGUS BLEND 17","2026-03-01","","","","","In Lactation","","17.0","31.5","0","x","","2025-11-15","3087165"
"111","","","DD1402","3","361","70.8","Open Cyclic","CHAROLAIS BLEND 4","2026-02-10","","","","","In Lactation","","25.6","70.8","0","x","","2025-04-19","3086497"
"80","","","DD1406","3","336","57.8","Pregnant","ANGUS BLEND 17","2025-12-14","","122","98","2026-09-20","In Lactation","","16.1","57.8","0","x","","2025-05-14","3086149"
"205","","","DD1413","3","264","47.0","Inseminated","ANGUS BLEND 17","2026-02-28","","","","","In Lactation","","19.8","47.0","0","x","","2025-07-25","5925505"
"101","","","DD1272","5","244","83.6","Pregnant","shazam","2026-02-03","","71","149","2026-11-10","In Lactation","x","25.6","83.6","0","x","","2025-08-14","3087282"
"246","","","DD1411","3","455","","Pregnant","CHAROLAIS BLEND 4","2025-07-18","","271","","2026-04-24","Dry Off","","20.7","","2","x","","2025-01-15","3086605"
"57","","","DD1285","5","141","67.7","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","20.7","67.7","0","x","","2025-11-25","3087322"
"132","","","DD1311","4","475","","Pregnant","CHAROLAIS BLEND 4","2025-08-29","","229","","2026-06-05","Dry Off","","7.7","","0","x","","2024-12-26","3087361"
"173","","","DD1321","5","30","90.6","Open","","","","","","","In Lactation","","27.6","90.6","0","x","","2026-03-16","3542711"
"63","","","DD1423","3","335","55.8","Pregnant","ANGUS BLEND 17","2025-12-14","","122","98","2026-09-20","In Lactation","","19.0","55.8","0","x","","2025-05-15","3086272"
"29","","","DD1595","3","295","50.3","Pregnant","SAVYSTRIDE","2025-12-03","","133","87","2026-09-09","In Lactation","","16.8","50.3","0","x","","2025-06-24","3086671"
"93","","","DD1425","3","343","66.8","Inseminated","ANGUS BLEND 17","2026-03-05","x","","","","In Lactation","","16.8","66.8","0","x","","2025-05-07","3086243"
"149","","","DD1416","3","335","54.9","Pregnant","DO IT NOW SEXED","2025-10-04","","193","27","2026-07-11","In Lactation","","24.7","54.9","0","x","","2025-05-15","3087997"
"83","","","DD1426","3","218","84.2","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","19.4","84.2","0","x","","2025-09-09","6641288"
"46","","","DD1415","3","239","82.5","Pregnant","SAVYSTRIDE","2025-11-30","","136","84","2026-09-06","In Lactation","","23.4","82.5","0","x","","2025-08-19","3351614"
"21","","","DD1420","3","292","75.2","Pregnant","ANGUS BLEND 17","2026-01-04","","101","119","2026-10-11","In Lactation","","20.5","75.2","0","x","","2025-06-27","3087503"
"190","","","US DD1432","3","212","57.3","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","20.5","57.3","0","x","","2025-09-15","3353629"
"92","","","DD1433","3","192","82.9","Pregnant","shazam","2026-01-04","","101","119","2026-10-11","In Lactation","","17.9","82.9","0","x","","2025-10-05","3087516"
"78","","","DD1435","3","78","80.2","Open","","","x","","","","In Lactation","","19.0","80.2","0","x","","2026-01-27","3087494"
"103","","","DD1438","3","30","102.3","Open","","","","","","","In Lactation","","29.1","102.3","0","x","","2026-03-16","3087255"
"62","","","US DD1627","3","200","87.3","Open Cyclic","GIANT","2026-02-02","","","","","In Lactation","","19.6","87.3","0","x","","2025-09-27","3087292"
"211","","","DD1440","1","351","72.1","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","x","","72.1","0","x","","2025-04-29","6641911"
"271","","","DD1441","2","165","58.6","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","","24.7","58.6","0","x","","2025-11-01","6642304"
"115","","","DD1442","3","12","66.4","Open","","","","","","","In Lactation","","20.5","66.4","0","x","","2026-04-03","3087667"
"123","","","DD1443","2","318","45.2","Pregnant","BOLDIN","2025-10-20","","177","43","2026-07-27","In Lactation","x","16.1","45.2","2","x","","2025-06-01","3086581"
"1063","","","DD1444","","","0.0","Open","DREAMMAKER SEX","2023-06-28","x","","","","Young Stock","","","0.0","","","","2021-11-12",""
"268","","","DD1446","2","306","70.1","Pregnant","ANGUS BLEND 17","2025-12-08","","128","92","2026-09-14","In Lactation","","16.8","70.1","0","x","","2025-06-13","6641401"
"71","","","DD1447","2","377","77.8","Inseminated","CHAROLAIS BLEND 4","2026-02-17","","","","","In Lactation","","22.5","77.8","0","x","","2025-04-03","3087258"
"6","","","DD1449","2","331","80.5","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","11.9","80.5","0","x","","2025-05-19","3087355"
"56","","","DD1453","2","234","50.3","Pregnant","SAVYSTRIDE","2025-11-08","","158","62","2026-08-15","In Lactation","","18.3","50.3","0","x","","2025-08-24","3086452"
"222","","","DD1455","2","243","79.4","Inseminated","CHAROLAIS BLEND 4","2026-02-26","","","","","In Lactation","","19.4","79.4","0","x","","2025-08-15","6632589"
"73","","","DD1328","3","204","72.3","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","15.4","72.3","0","x","","2025-09-23","3542905"
"1081","","","DD1459","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-02-27",""
"14","","","DD1332","4","208","73.2","Pregnant","LUCKYCHARM SEXED","2025-12-15","","121","99","2026-09-21","In Lactation","","19.8","73.2","0","x","","2025-09-19","3087979"
"118","","","US DD1456","2","337","84.7","Pregnant","","2025-11-28","","138","82","2026-09-04","In Lactation","","22.7","84.7","3","x","","2025-05-13","3087755"
"45","","","DD1462","2","340","","Pregnant","GAMEREADY SEXED","2025-07-23","","266","","2026-04-29","Dry Off","","7.5","","0","x","","2025-05-10","3086129"
"143","","","DD1467","2","244","78.9","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","18.1","78.9","2","x","","2025-08-14","3183515"
"199","","","DD1470","2","212","91.9","Pregnant","POWERHOUSE -SEXED","2025-12-16","","120","100","2026-09-22","In Lactation","","21.4","91.9","0","x","","2025-09-15","6633146"
"23","","","DD1471","1","372","43.7","Pregnant","GIANT","2025-09-23","","204","16","2026-06-30","In Lactation","","20.5","43.7","0","x","","2025-04-08","3087231"
"69","","","DD1473","2","328","77.4","Pregnant","ANGUS BLEND 17","2025-12-08","","128","92","2026-09-14","In Lactation","","23.6","77.4","0","x","","2025-05-22","3087141"
"127","","","DD1474","2","210","54.7","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","","22.3","54.7","0","x","","2025-09-17","3086217"
"94","","","DD1476","2","201","68.6","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","18.1","68.6","0","x","","2025-09-26","3087594"
"108","","","DD1479","2","242","82.7","Pregnant","BOLDNESS SEXED","2025-12-23","","113","107","2026-09-29","In Lactation","","28.0","82.7","0","x","","2025-08-16","3542732"
"202","","","DD1480","2","109","74.3","Open Cyclic","","","x","","","","In Lactation","","32.0","74.3","0","x","","2025-12-27","3087167"
"162","","","DD1482","2","213","71.4","Pregnant","BOLDNESS SEXED","2025-12-23","","113","107","2026-09-29","In Lactation","","19.4","71.4","0","x","","2025-09-14","5926949"
"152","","","DD1484","2","93","85.3","Inseminated","MITCHELL sexed","2026-03-19","","","","","In Lactation","","30.0","85.3","0","x","","2026-01-12","3353711"
"1108","","","DD1485","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-06-11",""
"124","","","DD1486","2","226","68.1","Pregnant","SAVYSTRIDE","2025-11-27","","139","81","2026-09-03","In Lactation","","21.2","68.1","0","x","","2025-09-01","3087250"
"98","","","DD1487","2","119","96.6","Inseminated","SAVYSTRIDE","2026-03-30","","","","","In Lactation","","22.3","96.6","1","x","","2025-12-17","3087882"
"31","","","DD1394","4","113","80.7","Inseminated","DO IT NOW SEXED","2026-03-14","","","","","In Lactation","","22.7","80.7","0","x","","2025-12-23","3087281"
"142","","","DD1376","3","541","","Pregnant","CHAROLAIS BLEND 4","2025-08-05","","253","","2026-05-12","Dry Off","","19.6","","2","x","","2024-10-21","3086184"
"97","","","DD1373","3","486","","Pregnant","ANGUS BLEND 17","2025-10-08","","189","","2026-07-15","Dry Off","","6.2","","93","x","","2024-12-15","3088051"
"40","","","DD1397","4","143","83.6","Open Cyclic","","","","","","","In Lactation","","26.2","83.6","0","x","","2025-11-23","3087510"
"116","","","DD1407","3","382","","Pregnant","GAMEREADY SEXED","2025-07-15","","274","","2026-04-21","Dry Off","","11.5","","0","x","","2025-03-29","3086998"
"35","","","DD1400","3","387","","Pregnant","darkmatter sexed","2025-07-24","","265","","2026-04-30","Dry Off","","19.2","","0","x","","2025-03-24","3087215"
"133","","","DD1374","4","236","66.4","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","22.7","66.4","1","x","","2025-08-22","3087396"
"28","","","DD1380","4","164","54.2","Open Cyclic","","","x","","","","In Lactation","","20.5","54.2","2","x","","2025-11-02","3087460"
"91","","","US DD1396","3","462","50.7","Pregnant","ANGUS BLEND 17","2025-11-07","","159","61","2026-08-14","In Lactation","","19.2","50.7","1","x","","2025-01-08","3087334"
"151","","","DD1489","","","0.0","Inseminated","POWERHOUSE -SEXED","2025-12-19","","","","","Young Stock","","","0.0","0","","","2022-07-08","3086706"
"24","","","DD1490","2","131","76.7","Inseminated","ANGUS BLEND 17","2026-03-17","","","","","In Lactation","","18.7","76.7","0","x","","2025-12-05","3086116"
"95","","","DD1493","2","287","53.8","Pregnant","BOLDNESS SEXED","2025-09-24","","203","17","2026-07-01","In Lactation","","21.8","53.8","0","x","","2025-07-02","3086498"
"32","","","DD1494","2","114","89.5","Inseminated","SAVYSTRIDE","2026-02-28","","","","","In Lactation","","19.8","89.5","0","x","","2025-12-22","3087545"
"47","","","DD1495","2","53","125.2","Open","","","","","","","In Lactation","","34.6","125.2","0","x","","2026-02-21","3087308"
"234","","","DD1496","2","204","79.1","Pregnant","LUCKYCHARM SEXED","2025-12-22","","114","106","2026-09-28","In Lactation","","17.4","79.1","0","x","","2025-09-23","6635136"
"250","","","DD1500","1","252","45.2","Open Cyclic","ANGUS BLEND 17","2026-01-28","","","","","In Lactation","","19.6","45.2","0","x","","2025-08-06","6635110"
"72","","","DD1501","2","63","82.0","Open Cyclic","","","","","","","In Lactation","","29.3","82.0","0","x","","2026-02-11","3087950"
"125","","","DD1502","1","353","34.0","Pregnant","GIANT","2025-09-19","","208","12","2026-06-26","In Lactation","","17.6","34.0","1","x","","2025-04-27","3087179"
"50","","","DD1503","1","273","56.2","Pregnant","CHAROLAIS BLEND 4","2026-01-28","","77","143","2026-11-04","In Lactation","","16.8","56.2","0","x","","2025-07-16","3086511"
"172","","","DD1505","1","251","46.3","Pregnant","SAVYSTRIDE","2025-11-10","","156","64","2026-08-17","In Lactation","","17.0","46.3","0","x","","2025-08-07","3351267"
"220","","","DD1506","1","425","","Pregnant","","2025-08-05","","253","","2026-05-12","Dry Off","","17.0","","1","x","","2025-02-14","6633304"
"213","","","DD1507","1","273","56.9","Pregnant","ADAGIO","2026-02-08","","66","154","2026-11-15","In Lactation","","17.9","56.9","1","x","","2025-07-16","6635043"
"53","","","DD1508","1","279","82.5","Pregnant","CHAROLAIS BLEND 4","2026-02-02","","72","148","2026-11-09","In Lactation","","21.2","82.5","2","x","","2025-07-10","3086247"
"55","","","DD1510","1","287","36.4","Pregnant","GIANT","2025-10-31","","166","54","2026-08-07","In Lactation","","18.1","36.4","0","x","","2025-07-02","3183487"
"214","","","DD1511","1","305","54.0","Pregnant","ANGUS BLEND 17","2025-10-27","","170","50","2026-08-03","In Lactation","","22.0","54.0","0","x","","2025-06-14","6635135"
"1141","","","DD1512","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-09-08",""
"183","","","DD1513","1","275","70.1","Pregnant","ANGUS BLEND 17","2026-01-02","","103","117","2026-10-09","In Lactation","","22.7","70.1","0","x","","2025-07-14","3087417"
"41","","","DD1514","1","283","68.6","Pregnant","SAVYSTRIDE","2025-11-10","","156","64","2026-08-17","In Lactation","","25.8","68.6","0","x","","2025-07-06","3087391"
"808","","","DD1521","1","244","54.7","Pregnant","POWERHOUSE -SEXED","2025-12-23","","113","107","2026-09-29","In Lactation","","19.0","54.7","0","x","","2025-08-14","3087269"
"87","","","DD1522","1","304","54.7","Pregnant","DO IT NOW SEXED","2025-09-02","","225","-5","2026-06-09","In Lactation","","28.4","54.7","0","x","","2025-06-15","3087609"
"82","","","DD1523","1","289","35.1","Pregnant","BOLDNESS SEXED","2025-10-08","","189","31","2026-07-15","In Lactation","x","29.3","35.1","0","x","","2025-06-30","3087220"
"803","","","DD1524","1","264","56.7","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","","22.9","56.7","1","x","","2025-07-25","5927959"
"140","","","DD1525","1","261","50.0","Pregnant","BOLDIN","2025-10-20","","177","43","2026-07-27","In Lactation","","21.6","50.0","1","x","","2025-07-28","3352078"
"158","","","DD1528","1","277","52.7","Pregnant","SAVYSTRIDE","2025-12-21","","115","105","2026-09-27","In Lactation","","19.4","52.7","0","x","","2025-07-12","3087680"
"1157","","","DD1529","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-08",""
"206","","","DD1530","1","264","49.8","Pregnant","MITCHELL sexed","2025-10-04","","193","27","2026-07-11","In Lactation","","16.3","49.8","0","x","","2025-07-25","3543433"
"1162","","","DD1533","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-31",""
"804","","","US DD1393","3","417","31.5","Open Cyclic","ANGUS BLEND 17","2026-03-05","x","","","","In Lactation","","19.0","31.5","1","x","","2025-02-22","3087379"
"48","","","DD1534","1","248","54.5","Pregnant","GIANT","2025-10-16","","181","39","2026-07-23","In Lactation","","19.2","54.5","0","x","","2025-08-10","3087565"
"148","","","DD1535","1","288","65.5","Pregnant","BEETHOVEN SEXED","2025-09-20","","207","13","2026-06-27","In Lactation","","34.4","65.5","0","x","","2025-07-01","3087735"
"262","","","DD1537","1","293","52.0","Pregnant","DO IT NOW SEXED","2025-12-17","","119","101","2026-09-23","In Lactation","","17.6","52.0","0","x","","2025-06-26","6634652"
"1169","","","DD1539","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-01",""
"134","","","DD1540","1","165","59.7","Inseminated","SAVYSTRIDE","2026-03-26","x","","","","In Lactation","","17.4","59.7","2","x","","2025-11-01","3087229"
"7","","","DD1542","1","280","45.9","Pregnant","BOLDNESS SEXED","2025-09-22","","205","15","2026-06-29","In Lactation","","21.6","45.9","0","x","","2025-07-09","3087274"
"207","","","DD1543","1","267","52.5","Pregnant","BOLDNESS SEXED","2025-09-22","","205","15","2026-06-29","In Lactation","","18.1","52.5","0","x","","2025-07-22","3086128"
"1174","","","DD1544","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-16",""
"15","","","DD1546","1","288","46.3","Pregnant","BEETHOVEN SEXED","2025-10-21","","176","44","2026-07-28","In Lactation","","14.1","46.3","2","x","","2025-07-01","3087121"
"135","","","DD1547","1","458","","Pregnant","CHAROLAIS BLEND 4","2025-09-20","","207","","2026-06-27","Dry Off","","21.4","","81","x","","2025-01-12","3086678"
"159","","","DD1548","1","301","69.7","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","In Lactation","","25.4","69.7","0","x","","2025-06-18","3087807"
"61","","","DD1550","1","268","50.7","Pregnant","ANGUS BLEND 17","2025-11-17","","149","71","2026-08-24","In Lactation","","19.6","50.7","1","x","","2025-07-21","3086148"
"155","","","DD1551","1","298","45.9","Pregnant","GIANT","2025-09-23","","204","16","2026-06-30","In Lactation","x","3.5","45.9","12","x","","2025-06-21","3086104"
"1183","","","DD1553","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-01-31",""
"1184","","","US DD1554","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-02-14",""
"106","","","US DD1556","","","0.0","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","Young Stock","","","0.0","0","","","2023-02-19","3087159"
"20","","","DD1558","1","155","50.3","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","16.5","50.3","0","x","","2025-11-11","3086114"
"74","","","US DD1559","1","268","58.0","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","21.8","58.0","0","x","","2025-07-21","3087864"
"264","","","US DD1560","1","281","45.9","Pregnant","SAVYSTRIDE","2025-11-27","","139","81","2026-09-03","In Lactation","","24.5","45.9","0","x","","2025-07-08","6633230"
"165","","","US DD1563","1","293","52.5","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","","17.0","52.5","0","x","","2025-06-26","5925519"
"186","","","US DD1564","1","255","59.5","Pregnant","GIANT","2025-09-23","","204","16","2026-06-30","In Lactation","","30.0","59.5","0","x","","2025-08-03","3087125"
"84","","","US DD1565","1","259","74.5","Inseminated","ANGUS BLEND 17","2026-03-23","x","","","","In Lactation","","19.4","74.5","4","x","","2025-07-30","3086109"
"25","","","US DD1567","1","286","26.9","Pregnant","ADAGIO","2025-09-26","","201","19","2026-07-03","In Lactation","","14.1","26.9","0","x","","2025-07-03","3087364"
"168","","","US DD1568","1","262","82.2","Inseminated","ANGUS BLEND 17","2026-03-05","x","","","","In Lactation","","21.2","82.2","1","x","","2025-07-27","3183540"
"1200","","","US DD1569","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-10-30","","167","","2026-08-06","Young Stock","","","0.0","","","","2023-05-01",""
"1201","","","US DD1570","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-05-04",""
"10","","","US DD1571","1","274","52.2","Pregnant","MITCHELL sexed","2025-09-07","","220","0","2026-06-14","In Lactation","","24.9","52.2","0","x","","2025-07-15","3086174"
"345","","","US DD1572","1","22","64.2","Open","","","","","","","In Lactation","x","1.3","64.2","6","x","","2026-03-24","3184368"
"263","","","US DD1573","1","159","23.6","Open Cyclic","BOLDNESS SEXED","2026-02-09","x","","","","In Lactation","","7.7","23.6","0","x","","2025-11-07","6634659"
"99","","","US DD1585","1","251","54.0","Pregnant","BEETHOVEN SEXED","2025-10-12","","185","35","2026-07-19","In Lactation","","18.7","54.0","0","x","","2025-08-07","3352005"
"185","","x","US DD1586","1","247","25.4","Pregnant","GIANT","2025-12-24","","112","108","2026-09-30","In Lactation","x","2.9","25.4","4","x","","2025-08-11","3087303"
"1219","","","US DD1589","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-06",""
"1220","","","US DD1590","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-07-22","","267","","2026-04-28","Young Stock","","","0.0","","","","2023-06-10",""
"1222","","","US DD1600","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
"1223","","","US DD1601","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
"90","","","DD1599","1","15","56.9","Open","","","","","","","In Lactation","","19.0","56.9","1","x","","2026-03-31","3087156"
"13","","","US DD1602","3","224","48.7","Inseminated","POWERHOUSE -SEXED","2026-02-09","x","","","","In Lactation","","17.9","48.7","1","x","","2025-09-03","3086569"
"255","","","US DD1603","1","147","60.0","Inseminated","CHAROLAIS BLEND 4","2026-04-11","","","","","In Lactation","","24.7","60.0","0","x","","2025-11-19","6635055"
"147","","","US DD1604","2","621","32.6","Pregnant","ANGUS BLEND 17","2025-12-06","","130","90","2026-09-12","In Lactation","","15.9","32.6","3","x","","2024-08-02","3086154"
"1226","","","US DD1605","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-24",""
"156","","","US DD1607","3","242","81.3","Inseminated","POWERHOUSE -SEXED","2026-02-09","x","","","","In Lactation","","30.9","81.3","0","x","","2025-08-16","3085889"
"88","","","US DD1608","1","21","60.0","Open","","","","","","","In Lactation","","15.7","60.0","0","x","","2026-03-25","3087586"
"86","","","US DD1610","1","292","43.7","Pregnant","SMITTEN SEXED","2025-09-08","","219","1","2026-06-15","In Lactation","","20.1","43.7","0","x","","2025-06-27","3087212"
"109","","","US DD1611","1","255","48.5","Inseminated","ANGUS BLEND 17","2026-03-27","x","","","","In Lactation","","20.7","48.5","0","x","","2025-08-03","3353222"
"1230","","","US DD1614","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-05",""
"252","","","US DD1617","1","21","74.7","Open","","","","","","","In Lactation","","15.9","74.7","0","x","","2026-03-25","6641942"
"1234","","","US DD1619","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-30",""
"1236","","","US DD1621","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-14",""
"1237","","","US DD1622","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-19",""
"1238","","","US DD1623","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-22",""
"346","","x","US DD1625","1","25","20.1","Open","","","","","","","In Lactation","","22.5","20.1","1","x","","2026-03-21","3183472"
"1242","","","US DD1630","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","257","","2026-05-08","Young Stock","","","0.0","","","","2023-08-28",""
"1243","","","US DD1629","","","0.0","Pregnant","Anderson Bull 3-25-2025","2026-01-24","","81","","2026-10-31","Young Stock","","","0.0","","","","2023-08-30",""
"1245","","","US DD1633","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-11","","247","","2026-05-18","Young Stock","","","0.0","","","","2023-09-07",""
"204","","","US DD1634","1","16","66.6","Open","","","","","","","In Lactation","","17.6","66.6","0","x","","2026-03-30","5925507"
"1247","","","US DD1635","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-07-12","","277","","2026-04-18","Young Stock","","","0.0","","","","2023-09-17",""
"1248","","","US DD1636","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","257","","2026-05-08","Young Stock","","","0.0","","","","2023-09-17",""
"1249","","","US DD1637","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-10-30","","167","","2026-08-06","Young Stock","","","0.0","","","","2023-09-21",""
"1250","","","US DD1638","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","257","","2026-05-08","Young Stock","","","0.0","","","","2023-09-23",""
"1251","","","US DD1639","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-09-26",""
"1253","","","US DD1641","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-10-21",""
"216","","","US DD1642","3","236","76.5","Inseminated","ANGUS BLEND 17","2026-02-18","","","","","In Lactation","","22.5","76.5","0","x","","2025-08-22","6634679"
"1256","","","US DD1647","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-09-10","","217","","2026-06-17","Young Stock","","","0.0","","","","2023-10-26",""
"247","","","US DD1649","1","22","66.6","Open","","","","","","","In Lactation","","15.9","66.6","2","x","","2026-03-24","6641939"
"265","","","US DD1650","1","22","67.2","Open","","","","","","","In Lactation","","22.7","67.2","0","x","","2026-03-24","6641319"
"137","","","US DD1652","1","18","50.0","Open","","","","","","","In Lactation","x","24.5","50.0","0","x","","2026-03-28","3087194"
"1261","","","US DD1653","1","16","","Open","","","","","","","Dry Off","","","","","","","2026-03-30",""
