"","","Attention","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness"
"66","3087248","Conductivity RR<br/>Mastitis RR<br/>","100   <br/> <br/>","<span style='width:68%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>"
"269","6642024","Activity(rumination)<br/>Fresh cow performance<br/>","48    <br/>66    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>"
"77","3086851","Mastitis LF<br/>Milk Temperature<br/>Fat Protein Ratio<br/>Conductivity LF<br/>"," <br/>104.1  <br/>1.55  <br/>96    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:56%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>"
"64","3087236","Time Away<br/>Fresh cow performance<br/>Fat Protein Ratio<br/>","28:00 <br/>52    <br/>1.52  <br/>","<span style='width:68%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/>"
"257","6634640","Conductivity LR<br/>Mastitis LR<br/>Fresh cow performance<br/>Milk Temperature<br/>Fat Protein Ratio<br/>","110   <br/> <br/>56    <br/>103.8  <br/>0.99  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>"
"27","3087387","Activity(rumination)<br/>Fresh cow performance<br/>Milk Temperature<br/>Fat Protein Ratio<br/>","76    <br/>45    <br/>102.5  <br/>1.43  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"203","5926241","Milk Drop<br/>Rest Feed<br/>Fat Protein Ratio<br/>Milk Temperature<br/>","-24.9 <br/>62    <br/>1.03  <br/>102.5  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"4","3086632","Milk Temperature<br/>Time Away<br/>","104.1  <br/>19:40 <br/>","<span style='width:56%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>"
"184","3183423","Fresh cow performance<br/>Fat Protein Ratio<br/>","33    <br/>0.95  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>"
"243","6633246","Milk Drop<br/>Milk Temperature<br/>","-17.4  <br/>102.5  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
