"Animal Number","Animal Name","Location","Expected application done date time","Medicine Dosage","Dosage Unit","Description","Claw/Teat","Treatment Plan Name","Disease Name","Last Routing Visit Direction","Route of Administration","MusId","Medicine Name","Lactation Days","Lactation Number"
"137","  8","North","2026-04-11 23:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Herd Vaccination plan","Mastitis vaccination","","Intra musculair","5720","Endovac-dairy","0","1"
"144"," ","North","2026-04-10 01:07","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Herd Vaccination plan","Mastitis vaccination","","Intra musculair","5716","Endovac-dairy","0","1"
"146","","North","2026-04-10 01:07","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Herd Vaccination plan","Mastitis vaccination","","Intra musculair","5718","Endovac-dairy","0","1"
