"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"Animal Number","Animal Tag Id","Animal Life No. ","Date","Lactation days","Day Production","Rest Feed","Failures","Failed Milking","Milkings","Milkings","Fat/Protein Ratio","Nr of Refusal","Day Production (24h)","Day Production (24h) Deviation","Color Code LF-LR-RF-RR","End Milk Till","Milk Separation","Body Score","Intake Total","Rest Feed Total","SCC Indication","Last Fertility Diagnose","Last Fertility Remarks","Last Fertility","Days Since Heat","Expected Calving","Insemination No.","Pregnancy Check Date","Pregnancy Status","LF","LR","RR","RF","Milk Temperature","Rumination Herd","Rumination Att. Count","Inversion/Ketosis","Activity Deviation","Rumination Minutes","Robot","Group Number","Group"
"AVG","","","","","","","","","","","","","","","","","","","13.73","0.60","","","","","","","","","","","","","","","","","","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20047","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","1","Default"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
