"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","9","Drinking Calves"
"20042","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"20049","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"1473","","DD 1992","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"22","3087348","DD1022","2026-04-13","296","26.9","225","4","","2.5","1.9","1.56","0","26.9","-2.2","- |  - |  - |  -","","","","5.18","3.02","190","Pregnant","Vet ck-pg","2025-12-19","188","","2","2025-12-19","Pregnant","89","93","95","0","99.3","469","0","x","4","406","102","103","South Milking Cows"
"66","3087248","DD1170","2026-04-13","109","81.3","55","101","x","2.9","1.4","1.09","0","81.3","-6.4","- |  - |  - |  -","","","","17.98","0.47","30","Metritis","Vet ck-reck dirty-clean","2026-02-20","51","","1","","","71","74","0","72","93.2","469","0","","6","532","102","103","South Milking Cows"
"166","5927463","DD1171","","474","","112","35","","2.8","2.0","1.23","2","","-0.9","[] Mastitis |  - |  [] Mastitis |  -","2025-12-25","","","","","","Pregnant","Vet ck-pg","2025-09-19","270","x","6","2025-09-19","Pregnant","112","90","90","102","97.3","469","0","","4","484","101","8","Dry Cows"
"96","3087977","DD1196","2026-04-13","235","70.1","412","0","","2.2","3.0","1.21","0","70.1","-2.0","- |  - |  - |  -","","","","12.86","0.25","210","Fertility cycling","Vet ck-57+DIM-stat left,CL right,lut, offsync in 5 days if no heat.","2026-02-20","12","","2","2026-01-16","Not Pregnant","70","67","68","0","100.6","469","0","","0","556","101","103","South Milking Cows"
"42","3087165","DD1262","2026-04-13","150","34.0","333","25","","2.9","2.6","1.33","4","34.0","7.9","- |  - |  - |  -","","","","12.74","0.18","1106","","","","44","","2","","","74","74","0","82","102.0","469","0","","3","523","102","103","South Milking Cows"
"101","3087282","DD1272","2026-04-13","243","79.1","474","10","","2.5","3.4","1.30","0","79.1","-6.4","- |  - |  - |  -","","","","17.50","0.42","80","Pregnant","Vet ck-PG","2026-03-20","70","","4","2026-03-20","Pregnant","73","73","70","72","103.5","469","0","","12","400","101","103","South Milking Cows"
"57","3087322","DD1285","2026-04-13","140","66.8","179","26","","2.5","2.7","1.29","0","66.8","-7.9","- |  - |  - |  -","","","","13.26","1.71","","Female infertility","Vet ck-75+DIM-Fol left,stat right,off sync","2026-02-21","12","","1","","","70","71","0","70","102.0","469","0","","4","579","103","3","North Milking Cows"
"132","3087361","DD1311","","474","","320","6","","2.8","1.0","1.79","0","","-3.7","- |  - |  - |  -","","","","","","","Pregnant","","2025-10-17","228","","4","2025-10-17","Pregnant","80","75","87","72","99.3","469","0","x","0","384","101","8","Dry Cows"
"173","3542711","DD1321","2026-04-13","29","82.7","24","2","","3.0","3.3","1.12","0","82.7","-3.7","[M]  |  [M]  |  [M]  |  [M] Mastitis","2026-04-06","x","","17.08","0.40","2793","","","","","","","","","68","73","85","71","101.1","469","0","","8","655","102","103","South Milking Cows"
"73","3542905","DD1328","2026-04-13","203","71.9","317","9","","3.1","3.4","1.39","0","71.9","0.7","- |  - |  - |  -","","","","18.21","0.26","916","Off sync program","Vet ck-open,fol left,stat right,offsync, Vet ck-open,fol left,stat right,offsync","2026-03-20","12","","2","2026-03-20","Not Pregnant","63","75","65","66","101.1","469","0","","3","542","102","103","South Milking Cows"
"14","3087979","DD1332","2026-04-13","207","69.7","366","6","","2.4","3.1","0.98","0","69.7","-3.1","- |  - |  - |  -","","","","13.21","0.40","33","Pregnant","Vet ck-preg,twins reck 120D","2026-02-20","120","","1","2026-02-20","Pregnant","70","73","70","0","101.7","469","0","x","13","567","101","103","South Milking Cows"
"182","6634654","DD1342","2026-04-13","227","75.0","456","7","","3.0","3.9","1.35","0","75.0","-5.5","- |  - |  - |  -","","","","13.81","0.21","117","Pregnant","Vet ck-preg","2026-02-20","120","","2","2026-02-20","Pregnant","66","67","67","0","101.1","469","0","","3","557","101","103","South Milking Cows"
"76","3087596","DD1349","2026-04-13","466","59.1","441","14","","2.6","2.9","1.50","0","59.1","-2.4","- |  - |  - |  -","","","","15.30","0.23","89","Pregnant","Vet ck-PG","2026-03-20","76","","8","2026-03-20","Pregnant","62","64","62","77","101.7","469","0","x","12","472","102","103","South Milking Cows"
"110","3087310","DD1351","2026-04-13","256","72.5","93","9","","4.1","4.7","1.22","1","72.5","-7.9","- |  - |  - |  -","","","","14.58","0.27","299","Fertility cycling","Vet ck-57+DIM-LC right,lut,offsync in 3 days if no heat","2026-02-20","20","","2","","","0","69","69","77","100.4","469","0","","14","563","102","103","South Milking Cows"
"16","3087866","DD1357","2026-04-13","230","56.2","84","6","","2.6","2.9","1.20","0","56.2","-0.7","- |  - |  - |  -","","","","13.83","0.24","","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","49","","1","","","74","76","74","0","100.9","469","0","","12","428","103","3","North Milking Cows"
"34","3086177","DD1364","2026-04-13","62","54.0","161","26","","1.6","2.3","1.27","0","54.0","-9.0","- |  - |  - |  -","","","","17.02","0.33","2507","Dirty cow","","2026-02-21","","","","","","68","66","86","82","101.1","469","0","","9","479","101","103","South Milking Cows"
"77","3086851","DD1365","2026-04-13","54","64.8","79","3","","2.4","2.7","1.54","1","64.8","0.0","[M] Mastitis |  [M]  |  [M]  |  [M] ","2026-04-06","x","","15.60","0.24","","Dirty cow","","2026-03-20","","","","","","108","67","65","0","102.2","469","0","x","2","494","102","103","South Milking Cows"
"97","3088051","DD1373","","485","","141","92","x","3.0","0.0","0.00","94","","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2026-01-16","188","","6","2026-01-16","Pregnant","0","68","78","0","98.6","469","11","","-2","316","101","1","Default"
"133","3087396","DD1374","2026-04-13","235","64.4","783","4","","1.8","2.4","1.27","0","64.4","1.1","[M]  |  [M]  |  [M]  |  [M] ","","x","","17.56","0.28","3369","Fertility cycling","Vet ck-reck-clean,Cl left,lut","2025-11-21","49","","3","","","66","67","63","74","101.3","469","0","","5","518","101","103","South Milking Cows"
"142","3086184","DD1376","","540","","688","12","","2.1","1.3","1.98","2","","-5.7","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","252","","8","2025-09-19","Pregnant","81","74","71","66","98.8","469","0","x","1","535","102","8","Dry Cows"
"28","3087460","DD1380","2026-04-13","163","53.1","143","1","","2.7","2.9","1.34","0","53.1","-2.4","- |  - |  - |  -","","","","12.62","0.16","48","Female infertility","Vet ck-75+DIM-cyst right,offsync","2026-02-20","19","","","","","0","71","70","0","101.7","469","0","","0","465","102","103","South Milking Cows"
"31","3087281","DD1394","2026-04-13","112","79.6","62","6","","3.6","3.9","1.25","3","79.6","-6.8","- |  - |  - |  -","","","","19.52","0.48","162","","","","31","","1","","","69","70","69","72","100.4","469","0","","9","411","102","103","South Milking Cows"
"40","3087510","DD1397","2026-04-13","142","86.2","313","4","","2.5","3.3","1.16","0","86.2","0.2","- |  - |  - |  -","","","","16.90","0.27","183","","","","15","","","","","71","74","71","72","102.4","469","0","","6","473","101","103","South Milking Cows"
"35","3087215","DD1400","","386","","258","80","","2.5","1.6","1.61","0","","0.9","- |  - |  - |  -","","","","","","79","Pregnant","Vet ck-pg","2025-09-19","264","x","2","2025-09-19","Pregnant","64","65","66","64","100.6","469","1","x","3","612","104","8","Dry Cows"
"111","3086497","DD1402","2026-04-13","360","69.0","276","26","","2.9","3.4","1.33","2","69.0","-0.7","- |  - |  - |  -","","","","16.43","0.25","86","Not Pregnant","Vet ck-preg ck-open,Stat left,stat right, off sync","2025-08-15","15","","3","2025-08-15","Not Pregnant","75","70","72","73","102.2","469","0","","-5","522","101","103","South Milking Cows"
"80","3086149","DD1406","2026-04-13","335","60.0","106","61","","3.1","3.1","1.37","0","60.0","0.7","- |  - |  - |  -","","","","15.30","0.24","1698","Pregnant","Vet ck-preg","2026-02-20","121","","5","2026-02-20","Pregnant","70","0","76","73","101.5","469","0","","7","468","102","103","South Milking Cows"
"116","3086998","DD1407","","381","","298","5","","2.8","1.4","1.40","0","","-2.9","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","273","x","1","2025-09-19","Pregnant","79","79","80","77","98.6","469","0","","0","556","101","8","Dry Cows"
"246","3086605","DD1411","","454","","470","15","","2.7","1.4","1.29","2","","8.8","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","270","x","2","2025-09-19","Pregnant","70","68","70","69","101.1","469","0","","1","526","103","8","Dry Cows"
"205","5925505","DD1413","2026-04-13","263","49.2","205","11","","2.5","2.7","1.37","0","49.2","-1.3","- |  - |  - |  -","2025-10-12","","","13.54","0.22","","Metritis","Vet ck-reck-clean","2025-09-20","45","","3","","","0","72","62","62","100.2","469","0","","14","467","104","3","North Milking Cows"
"46","3351614","DD1415","2026-04-13","238","83.3","346","5","","2.4","4.0","1.16","0","83.3","-2.4","- |  - |  - |  -","2026-04-06","","","17.20","0.36","1285","Pregnant","Vet ck-pg","2026-01-16","135","","2","2026-01-16","Pregnant","63","65","66","65","100.6","469","0","","8","577","102","103","South Milking Cows"
"149","3087997","DD1416","2026-04-13","334","56.2","278","21","","2.6","2.4","1.39","1","56.2","-2.2","- |  - |  - |  -","","","","13.54","0.27","","Pregnant","Vet ck-Pg","2025-11-21","192","","1","2025-11-21","Pregnant","68","71","72","70","100.0","469","0","","2","592","104","3","North Milking Cows"
"21","3087503","DD1420","2026-04-13","291","76.5","278","9","","2.8","3.6","1.36","0","76.5","-3.3","- |  - |  - |  -","","","","16.07","0.37","97","Pregnant","Vet ck-preg","2026-02-20","100","","4","2026-02-20","Pregnant","79","78","72","76","100.6","469","0","","-1","457","102","103","South Milking Cows"
"63","3086272","DD1423","2026-04-13","334","55.6","79","18","","3.2","3.0","1.41","1","55.6","-0.4","- |  - |  [] Mastitis |  -","","","","14.11","0.22","501","Pregnant","Vet ck-preg","2026-02-20","121","","3","2026-02-20","Pregnant","82","66","64","97","101.1","469","0","","14","454","102","103","South Milking Cows"
"93","3086243","DD1425","2026-04-13","342","68.6","112","176","","3.2","3.6","1.27","0","68.6","-3.5","- |  - |  - |  -","","","","11.37","0.17","69","Off sync program","","2026-02-23","40","","6","2026-02-20","Not Pregnant","79","72","73","74","101.5","469","0","","7","475","102","103","South Milking Cows"
"83","6641288","DD1426","2026-04-13","217","82.7","238","10","","3.0","4.3","1.23","0","82.7","-5.7","- |  - |  - |  -","","","","17.26","0.34","86","Not Pregnant","vet ck-open,Fol left,stat right,watch,offsync if no heat by Mon.","2026-03-20","12","","3","2026-03-20","Not Pregnant","64","66","66","67","100.4","469","0","","13","570","102","103","South Milking Cows"
"92","3087516","DD1433","2026-04-13","191","77.6","397","7","","2.9","3.0","1.15","0","77.6","-5.1","- |  - |  - |  -","","","","18.75","0.31","828","Pregnant","Vet ck-preg","2026-02-20","100","","2","2026-02-20","Pregnant","0","79","82","77","102.7","469","0","","3","474","101","103","South Milking Cows"
"78","3087494","DD1435","2026-04-13","77","87.5","40","1","","3.1","3.0","1.13","1","87.5","-4.6","[M]  |  [M]  |  [M]  |  [M] ","","x","","16.55","0.28","2571","","","","","","","","","67","67","88","83","102.4","469","0","","2","609","101","103","South Milking Cows"
"103","3087255","DD1438","2026-04-13","29","112.0","11","1","","4.1","4.4","1.13","0","112.0","5.5","- |  - |  - |  -","","","","20.06","0.46","188","","","","","","","","","0","68","65","66","102.0","469","0","","10","539","101","103","South Milking Cows"
"211","6641911","DD1440","2026-04-13","350","72.8","194","20","","3.2","3.6","1.37","0","72.8","-8.2","- |  - |  - |  -","","","","16.65","0.30","","Off sync program","","2026-02-23","41","","4","2026-01-16","Not Pregnant","75","76","75","74","101.7","469","0","","13","439","103","3","North Milking Cows"
"271","6642304","DD1441","2026-04-13","164","55.1","165","5","","2.5","2.4","1.36","0","55.1","-9.0","- |  - |  - |  -","","","","11.90","1.55","94","Metritis","Vet ck-dirty-clean,offsync","2026-02-20","15","","1","","","66","73","68","70","100.4","469","0","","4","484","102","103","South Milking Cows"
"115","3087667","DD1442","2026-04-13","11","65.3","2","0","","3.3","3.4","1.03","0","65.3","0.7","- |  - |  - |  -","","","","17.86","0.51","45","","","","","","","","","0","0","68","68","103.3","469","0","","-7","443","101","103","South Milking Cows"
"123","3086581","DD1443","2026-04-13","317","45.2","483","6","","2.7","2.1","1.53","1","45.2","-1.3","- |  - |  - |  -","","","","15.45","0.50","","Pregnant","Vet ck-pg","2025-12-19","176","","1","2025-12-19","Pregnant","69","69","67","77","100.9","469","0","x","1","535","104","3","North Milking Cows"
"1063","","DD1444","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Not Pregnant","Vet ck-open","2023-09-01","1021","","1","2023-09-01","Not Pregnant","","","","","","469","","","","","","11","Young stock"
"139","3087241","DD1445","2026-04-13","247","53.4","664","2","","2.6","2.4","1.06","0","53.4","-3.7","- |  - |  - |  -","","","","10.58","0.44","","Pregnant","Vet ck-pg,twins,reck @ 120D","2025-12-19","177","","1","2025-12-19","Pregnant","73","77","74","82","100.4","469","0","","8","548","104","3","North Milking Cows"
"268","6641401","DD1446","2026-04-13","305","68.3","110","17","","3.7","4.3","1.18","0","68.3","-6.6","- |  - |  - |  -","","","","13.69","0.28","52","Pregnant","Vet ck-preg","2026-02-20","127","","3","2026-02-20","Pregnant","64","64","62","65","101.7","469","0","","12","508","101","103","South Milking Cows"
"71","3087258","DD1447","2026-04-13","376","79.1","139","15","","3.7","4.9","1.44","1","79.1","-8.6","- |  - |  - |  -","","","","17.44","0.38","56","Dirty cow","Vet ck-Fresh,dirty,vac,lut,10,1 mo.","2025-05-17","56","","6","","","67","69","69","69","100.0","469","0","","13","524","102","103","South Milking Cows"
"6","3087355","DD1449","2026-04-13","330","78.7","340","6","","2.7","4.1","1.22","2","78.7","-12.3","- |  - |  - |  -","","","","16.43","0.26","28","Fertility cycling","Vet ck-pg-open,stat left,CL right,lut, Vet ck-pg-open,stat left,CL right,lut","2026-02-20","49","","3","2026-02-20","Not Pregnant","63","64","61","63","101.5","469","0","","9","489","102","103","South Milking Cows"
"56","3086452","DD1453","2026-04-13","233","45.6","624","5","","2.1","1.9","1.40","0","45.6","-4.0","- |  - |  - |  -","","","","11.67","2.99","148","Pregnant","Vet ck-pg","2026-01-16","157","","1","2026-01-16","Pregnant","66","68","71","74","101.5","469","0","","8","547","102","103","South Milking Cows"
"222","6632589","DD1455","2026-04-13","242","78.3","148","4","","2.8","3.4","1.52","0","78.3","-2.2","- |  - |  - |  -","","","","16.79","0.34","399","","","","47","","4","","","77","71","68","68","101.1","469","0","x","11","558","101","103","South Milking Cows"
"1081","","DD1459","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"45","3086129","DD1462","","339","","99","4","","2.7","1.9","1.44","0","","-5.3","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","265","x","1","2025-09-19","Pregnant","72","71","77","72","96.6","469","0","","0","453","104","8","Dry Cows"
"269","6642024","DD1463","2026-04-13","7","41.0","9","0","","2.3","2.3","1.34","0","41.0","-0.2","- |  - |  - |  -","","","","8.45","4.33","","","","","","","","","","65","67","65","67","101.1","469","9","","5","393","102","103","South Milking Cows"
"143","3183515","DD1467","2026-04-13","243","79.1","355","8","","3.0","4.0","1.41","0","79.1","-4.2","- |  - |  - |  -","","","","15.89","0.34","77","Fertility cycling","Vet ck-57+DIM-stat left,CL right, lut, offsync in 3 days if no heat","2026-02-20","26","","2","","","67","71","70","69","101.1","469","0","","1","535","102","103","South Milking Cows"
"199","6633146","DD1470","2026-04-13","211","96.3","712","22","","2.8","3.6","1.19","1","96.3","-3.5","- |  - |  - |  -","","","","15.18","0.25","133","Pregnant","Vet ck-preg","2026-02-20","119","","1","2026-02-20","Pregnant","61","66","64","63","101.5","469","0","","12","510","101","103","South Milking Cows"
"23","3087231","DD1471","2026-04-13","371","45.2","130","9","","3.8","2.4","1.50","0","45.2","-9.0","- |  - |  - |  -","","","","11.78","0.14","","Pregnant","Vet ck-Pg","2025-11-21","203","","1","2025-11-21","Pregnant","60","61","61","63","102.0","469","0","","-1","590","103","3","North Milking Cows"
"69","3087141","DD1473","2026-04-13","327","81.6","240","15","","3.3","4.1","1.23","0","81.6","-6.2","- |  - |  - |  -","","","","16.90","0.26","26","Pregnant","Vet ck-preg","2026-02-20","127","","3","2026-02-20","Pregnant","76","67","67","67","101.3","469","0","","14","422","101","103","South Milking Cows"
"127","3086217","DD1474","2026-04-13","209","52.7","525","7","","1.9","2.0","1.27","0","52.7","-3.5","- |  - |  - |  -","","","","12.62","0.31","236","Not Pregnant","Vet ck-pg-open,cyst right, off sync","2026-02-20","15","","2","2026-02-20","Not Pregnant","66","67","66","66","101.7","469","0","","10","425","101","103","South Milking Cows"
"94","3087594","DD1476","2026-04-13","200","70.1","661","4","","2.0","2.9","1.11","0","70.1","-1.5","- |  - |  - |  -","","","","14.64","0.26","201","Female infertility","Vet ck-57+DIM-stat left stat right, offsync","2026-02-20","12","","1","","","64","64","65","63","102.0","469","0","","4","554","101","103","South Milking Cows"
"26","3087118","DD1478","2026-04-13","249","65.9","243","146","","2.9","3.4","1.30","0","65.9","-21.6","- |  - |  - |  -","2025-10-27","","","16.19","0.20","21","Pregnant","Vet ck-pg","2025-12-19","165","","3","2025-12-19","Pregnant","61","67","64","0","101.7","469","0","","16","484","102","103","South Milking Cows"
"108","3542732","DD1479","2026-04-13","241","87.1","448","17","","2.5","3.3","1.43","0","87.1","-2.4","- |  - |  - |  -","","","","16.90","0.29","66","Pregnant","Vet ck-preg","2026-02-20","112","","1","2026-02-20","Pregnant","69","72","70","72","101.7","469","0","","8","506","101","103","South Milking Cows"
"202","3087167","DD1480","2026-04-13","108","75.8","306","6","","2.7","3.1","1.30","0","75.8","-0.9","- |  - |  - |  -","","","","15.36","0.20","83","","","","1","","","","","72","73","72","73","102.2","469","0","","0","516","101","103","South Milking Cows"
"162","5926949","DD1482","2026-04-13","212","71.0","108","55","","2.7","3.1","1.22","0","71.0","1.5","- |  - |  - |  -","","","","13.04","0.47","26","Pregnant","Vet ck-preg","2026-02-20","112","","1","2026-02-20","Pregnant","70","79","77","71","101.5","469","0","","11","528","102","103","South Milking Cows"
"152","3353711","DD1484","2026-04-13","92","83.6","205","15","","2.6","3.4","1.62","0","83.6","-10.8","- |  - |  - |  -","","","","18.48","0.27","","","","","26","","1","","","66","69","68","67","99.9","469","0","x","7","530","104","3","North Milking Cows"
"1108","","DD1485","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"124","3087250","DD1486","2026-04-13","225","65.5","150","13","","2.8","3.3","1.36","0","65.5","-2.6","- |  - |  - |  -","","","","12.56","0.17","29","Pregnant","Vet ck-pg","2026-01-16","138","","1","2026-01-16","Pregnant","65","69","66","66","101.7","469","0","","13","413","102","103","South Milking Cows"
"98","3087882","DD1487","2026-04-13","118","98.8","364","1","","3.1","3.0","1.26","0","98.8","-7.7","- |  - |  - |  -","","","","17.92","0.32","9","","","","15","","2","","","69","70","69","70","102.6","469","0","","8","565","101","103","South Milking Cows"
"49","3086283","DD1488","","371","","174","8","","3.0","2.0","1.31","0","","-2.6","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","273","x","1","2025-09-19","Pregnant","66","65","68","66","101.5","469","0","","5","453","103","8","Dry Cows"
"151","3086706","DD1489","","","0.0","","0","","","","0.00","0","0.0","0.0","- |  - |  - |  -","","","","","","","Female infertility","Vet ck-fertility ck-watch for heat","2025-09-19","116","","1","","","","","","","","469","0","","0","448","","1","Default"
"24","3086116","DD1490","2026-04-13","130","74.5","86","8","","3.3","3.4","1.20","1","74.5","-6.6","- |  - |  - |  -","","","","16.01","0.32","97","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","28","","2","","","68","74","68","70","101.7","469","0","","5","521","102","103","South Milking Cows"
"95","3086498","DD1493","2026-04-13","286","52.9","326","21","","3.0","2.9","1.51","1","52.9","-6.8","- |  - |  - |  -","2025-10-29","","","11.85","3.43","237","Pregnant","Vet ck-Pg","2025-11-21","202","","1","2025-11-21","Pregnant","64","63","62","61","102.4","469","0","x","9","503","101","103","South Milking Cows"
"32","3087545","DD1494","2026-04-13","113","91.7","60","7","","3.7","4.3","1.14","0","91.7","-9.5","- |  - |  - |  -","","","","18.39","0.36","15","","","","45","","1","","","60","64","60","62","100.9","469","0","","12","493","102","103","South Milking Cows"
"47","3087308","DD1495","2026-04-13","52","120.1","31","4","","4.4","4.9","0.98","0","120.1","-12.3","- |  - |  - |  -","","","","20.00","0.59","26","Dirty cow","","2026-03-20","","","","","","64","68","66","67","100.9","469","0","x","6","553","102","103","South Milking Cows"
"234","6635136","DD1496","2026-04-13","203","77.6","139","5","","3.1","4.0","1.19","4","77.6","-5.3","- |  - |  - |  -","","","","15.24","0.32","45","Pregnant","Vet ck-preg","2026-02-20","113","","1","2026-02-20","Pregnant","64","69","66","67","100.9","469","0","","29","440","102","103","South Milking Cows"
"250","6635110","DD1500","2026-04-13","251","48.7","190","5","","2.1","2.6","1.47","0","48.7","-2.0","- |  - |  - |  -","","","","14.32","0.27","","Off sync program","","2026-01-19","15","","2","2025-12-19","Not Pregnant","71","72","72","71","98.4","469","0","","6","612","104","3","North Milking Cows"
"72","3087950","DD1501","2026-04-13","62","81.8","49","2","","2.7","3.1","1.00","0","81.8","-4.4","- |  - |  - |  -","","","","12.80","0.23","22","","","","14","","","","","70","70","73","70","102.2","469","0","","1","461","101","103","South Milking Cows"
"125","3087179","DD1502","2026-04-13","352","34.8","251","17","","2.6","2.1","1.35","0","34.8","-3.3","- |  - |  - |  -","","","","9.81","0.13","","Pregnant","Vet ck-Pg","2025-11-21","207","","1","2025-11-21","Pregnant","68","67","66","66","102.7","469","0","","9","505","103","3","North Milking Cows"
"50","3086511","DD1503","2026-04-13","272","58.0","82","55","","3.1","3.0","1.34","0","58.0","-3.5","- |  - |  - |  -","","","","13.62","0.19","","Pregnant","Vet ck-PG","2026-03-20","76","","3","2026-03-20","Pregnant","67","0","72","69","100.0","469","0","","8","546","104","3","North Milking Cows"
"172","3351267","DD1505","2026-04-13","250","48.1","192","3","","2.8","2.3","1.28","0","48.1","-5.1","- |  - |  - |  -","","","","11.57","0.19","","Pregnant","Vet ck-pg","2026-01-16","155","","1","2026-01-16","Pregnant","70","76","69","73","102.0","469","0","","11","473","103","3","North Milking Cows"
"220","6633304","DD1506","","424","","108","70","","2.9","1.9","1.62","1","","-4.2","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","252","","3","2025-09-19","Pregnant","68","61","63","62","101.3","469","0","x","6","407","103","1","Default"
"213","6635043","DD1507","2026-04-13","272","64.4","123","10","x","3.0","3.0","1.36","2","64.4","-2.6","- |  - |  - |  -","","","","14.46","0.25","","Pregnant","Vet ck-PG","2026-03-20","65","","4","2026-03-20","Pregnant","0","66","66","0","98.2","469","0","","4","568","104","3","North Milking Cows"
"53","3086247","DD1508","2026-04-13","278","81.1","148","15","","3.0","3.4","1.17","0","81.1","-0.4","- |  - |  - |  -","","","","16.90","0.29","20","Pregnant","Vet ck-PG","2026-03-20","71","","4","2026-03-20","Pregnant","68","71","70","70","101.1","469","0","","11","523","102","103","South Milking Cows"
"55","3183487","DD1510","2026-04-13","286","37.9","231","7","","2.4","2.3","1.23","0","37.9","-2.6","- |  - |  - |  -","","","","10.86","0.15","","Pregnant","Vet ck-pg","2025-12-19","165","","1","2025-12-19","Pregnant","66","68","68","69","101.5","469","0","","4","338","103","3","North Milking Cows"
"214","6635135","DD1511","2026-04-13","304","56.7","117","3","","3.6","3.1","1.33","0","56.7","-5.5","- |  - |  - |  -","","","","10.72","0.15","","Pregnant","Vet ck-pg","2025-12-19","169","","2","2025-12-19","Pregnant","70","71","70","71","99.5","469","0","","9","483","104","3","North Milking Cows"
"1141","","DD1512","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","469","","","","","","11","Young stock"
"183","3087417","DD1513","2026-04-13","274","71.9","121","13","","3.3","3.4","1.33","0","71.9","-6.0","- |  - |  - |  -","","","","17.50","0.32","","Pregnant","Vet ck-preg","2026-02-20","102","","3","2026-02-20","Pregnant","72","71","73","73","99.3","469","0","","0","467","104","3","North Milking Cows"
