"Animal Number","Robot","Animal Tag Id","Animal Life No. ","Group","Location","Lactation No.","Lactation days","Reproduction Status","Last Insemination","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Gender"
"220","103","6633304","DD1506","Default","North","1","405","Pregnant","2025-08-05","233","","2026-05-12","Dry Off","Female"
"221","101","6635124","US DD1836","South Milking Cows","South","4","194","Pregnant","2025-11-25","121","99","2026-09-01","In Lactation","Female"
"222","101","6632589","DD1455","South Milking Cows","South","2","223","Inseminated","2026-02-26","","","","In Lactation","Female"
"223","102","6632661","US DD1714","South Milking Cows","South","2","308","Pregnant","2026-01-03","82","138","2026-10-10","In Lactation","Female"
"224","102","6642406","US DD1716","South Milking Cows","South","3","4","Open","","","","","In Lactation","Female"
"226","104","6634736","US DD1739","North Milking Cows","North","2","299","Pregnant","2025-11-02","144","76","2026-08-09","In Lactation","Female"
"227","101","6632644","US DD1723","South Milking Cows","South","2","369","Pregnant","2025-11-07","139","81","2026-08-14","In Lactation","Female"
"231","101","6635053","US DD1834","South Milking Cows","South","6","204","Open Cyclic","2026-01-28","","","","In Lactation","Female"
"232","101","6632637","US DD1792","South Milking Cows","South","3","144","Open Cyclic","","","","","In Lactation","Female"
"233","104","6634664","US DD1793","North Milking Cows","North","3","311","Pregnant","2026-01-10","75","145","2026-10-17","In Lactation","Female"
"234","101","6635136","DD1496","South Milking Cows","South","2","184","Pregnant","2025-12-22","94","126","2026-09-28","In Lactation","Female"
"235","104","6633202","US DD1795","North Milking Cows","North","4","190","Inseminated","2026-02-24","","","","In Lactation","Female"
"236","103","6632625","US DD1722","North Milking Cows","North","1","13","Open","","","","","In Lactation","Female"
"237","101","6635029","US DD1797","Default","South","2","370","Pregnant","2025-09-11","196","","2026-06-18","Dry Off","Female"
"238","101","6634733","US DD1798","South Milking Cows","South","2","200","Open Cyclic","","","","","In Lactation","Female"
"239","101","6641905","US DD1799","South Milking Cows","South","5","37","Open","","","","","In Lactation","Female"
"240","103","6633288","US DD1800","North Milking Cows","North","4","342","Pregnant","2025-11-07","139","81","2026-08-14","In Lactation","Female"
"241","103","6634711","US DD1801","North Milking Cows","North","3","383","Pregnant","2025-10-26","151","69","2026-08-02","In Lactation","Female"
"243","102","6633246","US DD1803","South Milking Cows","South","3","101","Open Cyclic","","","","","In Lactation","Female"
"244","102","6632803","US DD1810","South Milking Cows","South","3","212","Inseminated","2026-03-05","","","","In Lactation","Female"
"245","102","6634963","US DD1811","Default","South","4","159","Inseminated","2026-02-24","","","","Dry Off","Female"
"246","103","3086605","DD1411","Dry Cows","Dry cow pen","3","435","Pregnant","2025-07-18","251","","2026-04-24","Dry Off","Female"
"247","104","6641939","US DD1649","North Milking Cows","North","1","2","Open","","","","","In Lactation","Female"
"248","101","6635044","US DD1816","South Milking Cows","South","4","315","Inseminated","2026-03-14","","","","In Lactation","Female"
"250","104","6635110","DD1500","North Milking Cows","North","1","232","Open Cyclic","2026-01-28","","","","In Lactation","Female"
"252","104","6641942","US DD1617","North Milking Cows","North","1","1","Open","","","","","In Lactation","Female"
"253","103","6634702","US DD1821","North Milking Cows","North","4","454","Inseminated","2026-02-19","","","","In Lactation","Female"
"255","103","6635055","US DD1603","North Milking Cows","North","1","127","Open","","","","","In Lactation","Female"
"256","101","6634673","US DD1824","South Milking Cows","South","4","169","Inseminated","2026-03-14","","","","In Lactation","Female"
"257","","6634640","US DD1648","Default","North","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"258","102","6641953","US DD1826","Dry Cows","Dry cow pen","4","345","Pregnant","2025-07-18","251","","2026-04-24","Dry Off","Female"
"260","102","6634655","US DD1828","South Milking Cows","South","3","175","Inseminated","2026-02-20","","","","In Lactation","Female"
"261","102","6634657","US DD1829","South Milking Cows","South","3","124","Open Cyclic","2026-02-09","","","","In Lactation","Female"
"262","103","6634652","DD1537","North Milking Cows","North","1","273","Pregnant","2025-12-17","99","121","2026-09-23","In Lactation","Female"
"263","103","6634659","US DD1573","North Milking Cows","North","1","139","Open Cyclic","2026-02-09","","","","In Lactation","Female"
"264","104","6633230","US DD1560","North Milking Cows","North","1","261","Pregnant","2025-11-27","119","101","2026-09-03","In Lactation","Female"
"265","104","6641319","US DD1650","North Milking Cows","North","1","2","Open","","","","","In Lactation","Female"
"266","104","6640786","US 1738","North Milking Cows","North","1","10","Open","","","","","In Lactation","Female"
"268","102","6641401","DD1446","South Milking Cows","South","2","286","Pregnant","2025-12-08","108","112","2026-09-14","In Lactation","Female"
"269","104","6642024","DD1463","Dry Cows","Dry cow pen","1","642","Pregnant","2025-07-01","268","","2026-04-07","Dry Off","Female"
"270","101","6642008","US DD1871","South Milking Cows","South","3","136","Inseminated","2026-03-23","","","","In Lactation","Female"
"271","102","6642304","DD1441","South Milking Cows","South","2","145","Open","","","","","In Lactation","Female"
"345","104","3184368","US DD1572","Main","North","1","2","Open","","","","","In Lactation","Female"
"346","103","3183472","US DD1625","North Milking Cows","North","1","5","Open","","","","","In Lactation","Female"
"568","101","3184472","US DD1699","South Milking Cows","South","3","44","Open Cyclic","","","","","In Lactation","Female"
"746","103","3351299","US DD1674","Main","North","1","4","Open","","","","","In Lactation","Female"
"787","104","3184144","US DD1846","North Milking Cows","North","3","214","Open Cyclic","","","","","In Lactation","Female"
"803","103","5927959","DD1524","North Milking Cows","North","1","244","Inseminated","2026-03-04","","","","In Lactation","Female"
"804","102","3087379","US DD1393","South Milking Cows","South","3","397","Inseminated","2026-03-05","","","","In Lactation","Female"
"808","103","3087269","DD1521","North Milking Cows","North","1","224","Pregnant","2025-12-23","93","127","2026-09-29","In Lactation","Female"
"1063","","","DD1444","Young stock","Farm","","","Open","2023-06-28","","","","Young Stock","Female"
"1081","","","DD1459","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1108","","","DD1485","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1111","","","NL 1235469870","Main","Farm","","","Never inseminated","","","","","In Lactation","Female"
"1138","","","DD1509","Young stock","Farm","","","Keep Open","","","","","Young Stock","Female"
"1141","","","DD1512","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1157","","","DD1529","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1162","","","DD1533","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1169","","","DD1539","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1174","","","DD1544","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1183","","","DD1553","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1184","","","US DD1554","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1200","","","US DD1569","Main","Calf barn","","","Pregnant","2025-10-30","147","","2026-08-06","Young Stock","Female"
"1201","","","US DD1570","Main","Calf barn","","","Never inseminated","","","","","Young Stock","Female"
"1207","","","US DD1576","Young stock","Farm","","","Pregnant","2025-12-20","96","","2026-09-26","Young Stock","Female"
"1213","","","US DD1582","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1219","","","US DD1589","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1220","","","US DD1590","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1222","","","US DD1600","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1223","","","US DD1601","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1224","","","DD1599","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1226","","","US DD1605","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1230","","","US DD1614","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1234","","","US DD1619","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1236","","","US DD1621","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1237","","","US DD1622","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1238","","","US DD1623","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1239","","","US DD1624","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1242","","","US DD1630","Young stock","Farm","","","Pregnant","2025-08-01","237","","2026-05-08","Young Stock","Female"
"1243","","","US DD1629","Young stock","Farm","","","Pregnant","2026-01-24","61","","2026-10-31","Young Stock","Female"
"1245","","","US DD1633","Young stock","Farm","","","Pregnant","2025-08-11","227","","2026-05-18","Young Stock","Female"
"1247","","","US DD1635","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1248","","","US DD1636","Young stock","Farm","","","Pregnant","2025-08-01","237","","2026-05-08","Young Stock","Female"
"1249","","","US DD1637","Young stock","Farm","","","Pregnant","2025-10-30","147","","2026-08-06","Young Stock","Female"
"1250","","","US DD1638","Young stock","Farm","","","Pregnant","2025-08-01","237","","2026-05-08","Young Stock","Female"
"1251","","","US DD1639","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1252","","","US DD1640","Young stock","Farm","","","Pregnant","2025-07-02","267","","2026-04-08","Young Stock","Female"
"1253","","","US DD1641","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1254","","","US DD1646","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1256","","","US DD1647","Young stock","Farm","","","Pregnant","2025-09-10","197","","2026-06-17","Young Stock","Female"
"1260","","","US DD1652","Young stock","Farm","","","Pregnant","2025-07-02","267","","2026-04-08","Young Stock","Female"
"1261","","","US DD1653","Young stock","Farm","","","Pregnant","2025-08-21","217","","2026-05-28","Young Stock","Female"
"1262","","","US DD1655","Main","Calf barn","","","Pregnant","2025-07-02","267","","2026-04-08","Young Stock","Female"
"1264","","","US DD1656","Main","Calf barn","","","Keep Open","","","","","Young Stock","Female"
"1266","","","US DD1672","Main","Calf barn","","","Never inseminated","","","","","Young Stock","Female"
"1268","","","US DD1676","Main","Calf barn","","","Pregnant","2025-11-19","127","","2026-08-26","Young Stock","Female"
"1269","","","US DD1677","Main","Calf barn","","","Never inseminated","","","","","Young Stock","Female"
"1270","","","US DD1679","Main","Calf barn","","","Pregnant","2025-10-30","147","","2026-08-06","Young Stock","Female"
"1271","","","US DD1680","Main","Calf barn","","","Never inseminated","","","","","Young Stock","Female"
"1272","","","US 1703","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1274","","","US DD1705","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1275","","","US DD1707","Young stock","Farm","","","Pregnant","2025-06-22","277","","2026-03-29","Young Stock","Female"
"1276","","","US DD1708","Young stock","Farm","","","Keep Open","","","","","Young Stock","Female"
"1277","","","US DD1715","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1278","","","US DD1719","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1279","","","US DD1720","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1280","","","US DD1721","Young stock","Farm","","","Pregnant","2025-11-04","142","","2026-08-11","Young Stock","Female"
"1283","","","US DD1726","Young stock","Farm","","","Pregnant","2025-08-21","217","","2026-05-28","Young Stock","Female"
"1284","","","US DD1731","Young stock","Farm","","","Pregnant","2025-08-21","217","","2026-05-28","Young Stock","Female"
"1286","","","US 1734","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1287","","","US DD1736","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1288","","","US DD1737","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1290","","","US DD1740","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1291","","","US 1741","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1292","","","US DD1743","Young stock","Farm","","","Pregnant","2025-12-30","86","","2026-10-06","Young Stock","Female"
"1294","","","US 1745","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1297","","","US DD1752","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1298","","","US DD1755","Young stock","Farm","","","Pregnant","2025-07-12","257","","2026-04-18","Young Stock","Female"
"1299","","","US DD1756","Young stock","Farm","","","Pregnant","2026-01-09","76","","2026-10-16","Young Stock","Female"
"1301","","","US DD1760","Young stock","Farm","","","Pregnant","2025-12-30","86","","2026-10-06","Young Stock","Female"
"1302","","","US DD1761","Young stock","Farm","","","Pregnant","2025-06-22","277","","2026-03-29","Young Stock","Female"
"1304","","","US DD1773","Young stock","Farm","","","Pregnant","2026-01-04","81","","2026-10-11","Young Stock","Female"
"1305","","","US DD1774","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1307","","","US DD1776","Young stock","Farm","","","Pregnant","2026-02-03","51","","2026-11-10","Young Stock","Female"
"1308","","","US DD1777","Young stock","Farm","","","Pregnant","2026-01-09","76","","2026-10-16","Young Stock","Female"
"1309","","","US DD1778","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1310","","","US DD1780","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1311","","","US DD1781","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1312","","","US DD1785","Young stock","Farm","","","Pregnant","2025-07-22","247","","2026-04-28","Young Stock","Female"
"1313","","","US DD1786","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1314","","","US DD1787","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1316","","","US DD1789","Main","Calf barn","","","Never inseminated","","","","","Young Stock","Female"
"1317","","","US 1789","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1318","","","US 1790","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1319","","","US DD1791","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1320","","","US DD1804","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1321","","","US DD1805","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1322","","","US DD1806","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1323","","3543443","US DD1812","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1324","","","US DD1813","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1325","","","US 1815","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1326","","","US DD1326","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1327","","","US DD1832","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1328","","","US DD1833","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1329","","","US DD1835","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1330","","","US DD1840","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1331","","","US DD1841","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1332","","","US DD1842","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1335","","","US DD1848","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1336","","","US DD1849","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1337","","","US DD1851","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1338","","","US DD1852","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1339","","","US DD1853","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1340","","","US DD1855","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1341","","","US DD1856","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1342","","","US DD1858","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1343","","","US 1859","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1344","","","US DD1860","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1345","","","US DD1861","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1346","","","US DD1862","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1347","","","US DD1863","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1348","","","US DD1864","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
