"Animal Number","Robot","Animal Tag Id","Animal Life No. ","Group","Location","Lactation No.","Lactation days","Reproduction Status","Last Insemination","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Gender"
"1395","","","US DD1913","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1396","","","US 1914","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1397","","","US DD1915","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1398","","","US 1916","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1399","","","US DD1917","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1400","","","US DD1918","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1401","","","US DD1919","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1402","","","US DD1920","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1403","","","US DD1921","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1404","","","US DD1922","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1407","","","US DD1925","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1408","","","US DD1926","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1410","","","US DD1928","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1411","","","US DD1929","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1412","","","US DD1930","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1413","","","US DD193114","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1414","","","US DD1932","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1415","","","US DD1933","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1416","","","DD1934","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1417","","","US DD1935","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1418","","","US DD1936","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1419","","","US DD1937","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1420","","","US DD1938","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1421","","","US 1939","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1422","","","US 1940","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1423","","","US 1941","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1424","","","US DD1942","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1425","","","US 1943","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1426","","","US DD 1944","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1427","","","US 1945","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1428","","","DD1946","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1429","","","DD1947","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1430","","","US DD1948","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1431","","","US DD1949","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1432","","","US 1950","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1433","","","US DD1951","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1434","","","US DD1952","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1435","","","US DD1953","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1436","","","DD1954 ","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1437","","","DD1793","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1438","","","US DD1956","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1439","","","US DD1957","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1441","","","DD1959","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1442","","","US DD1960","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1443","","","US DD1961","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1444","","","US DD1962","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1445","","","USDD1964","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1446","","","USDD1965","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1447","","","US DD1966","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1449","","","USDD1968","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1450","","","US DD1969","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1451","","","US DD1970","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1452","","","US DD1971","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1453","","","US DD1972","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1454","","","US DD1973","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1456","","","US DD1975","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1457","","","US DD1976","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1458","","","US DD1977","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1459","","","US 1978","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1460","","","US DD1979","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1461","","","US DD1980","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1462","","","USDD1981","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1463","","","US DD1982","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1464","","","US DD1983","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1465","","","US DD1984","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1466","","","US DD1985","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1467","","","US 1986","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1468","","","US 1987","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1469","","","US DD1988","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1470","","","US DD1989","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1471","","","US DD1990","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1472","","","US DD1991","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1473","","","DD 1992","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1474","","","US DD1993","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1475","","","US 1994","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1476","","","US DD1995","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1477","","","US DD1996","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1478","","","US DD1997","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1479","","","US DD1998","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1480","","","US DD1999","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1481","","","US DD2000","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1482","","","US DD2001","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1485","","","US DD2004","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1486","","","US D2005","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1487","","","US DD2006","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1488","","","US DD2007","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1489","","","US DD2008","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1490","","","US DD2009","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1491","","","DD2010","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1492","","","US DD2011","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1493","","","US DD2012","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1494","","","US DD2013","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1495","","","US DD2014","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1496","","","US DD2015","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1497","","","US 2015","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1498","","","US DD2017","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"1499","","","US DD2018","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"20039","","","US DD1643","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"20041","","","USDD1681","Bulls","Calf barn","","","Unknown","","","","","Bulls","Male"
"20042","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"20043","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"20045","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"20046","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"20047","","","","Default","pen 1","","","Never inseminated","","","","","Young Stock","Female"
"20048","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"20049","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
